0,15700,31400,47100,62800,78500,94200,109900,125600,141300,157000,172700,188400,204100,219800,235500,251200,266900,282600,298300,314000,329700,345400,361100,376800,392500,408200,423900,439600,455300,471000,486700,502400,518100,533800,549500,565200,580900,596600,612300,628000,643700,659400,675100,690800,706500,722200,737900,753600,769300,785000,800700,816400,832100,847800,863500,879200,894900,910600,926300,942000,957700,973400,989100,1004800,1020500,1036200,1051900,1067600,1083300,1099000,1114700,1130400,1146100,1161800,1177500,1193200,1208900,1224600,1240300,1256000,1271700,1287400,1303100,1318800,1334500,1350200,1365900,1381600,1397300,1413000,1428700,1444400,1460100,1475800,1491500,1507200,1522900,1538600,1554300,1570000
20000,0,8.90049591362185e-07,1.53160755284311e-06,2.06990019435546e-06,2.53808719145551e-06,2.95726707344171e-06,3.34024648012297e-06,3.69531550593381e-06,4.02815373257803e-06,4.34283022948393e-06,4.64236571789302e-06,4.9290681736407e-06,5.20474339794027e-06,5.47083271125644e-06,5.72850617177451e-06,5.97872757387409e-06,6.22230093432078e-06,6.45990447971307e-06,6.69211598063166e-06,6.91943196094431e-06,7.14228248613919e-06,7.36104270426123e-06,7.57604196373654e-06,7.78757109732035e-06,7.99588830014255e-06,8.2012239172312e-06,8.40378437601615e-06,8.60375544181179e-06,8.80130493232488e-06,8.99658499624429e-06,9.18973403781612e-06,9.38087835182533e-06,9.57013352007332e-06,9.75760561018166e-06,9.88773599289533e-06,1.00144757807138e-05,1.01408800479454e-05,1.0303207197747e-05,1.04847200480298e-05,1.06647338801783e-05,1.0843313426752e-05,1.1020518252108e-05,1.11964033303396e-05,1.13710195431249e-05,1.15444141104188e-05,1.17166309645693e-05,1.18877110765623e-05,1.20576927415838e-05,1.2226611829871e-05,1.23945020078259e-05,1.25613949335601e-05,1.27273204303735e-05,1.28923066411223e-05,1.30563801659823e-05,1.32195661857363e-05,1.33818885724031e-05,1.3543369988764e-05,1.37040319781229e-05,1.38638950454516e-05,1.40229787309158e-05,1.41813016766435e-05,1.4338881687488e-05,1.44957357864362e-05,1.46518802652365e-05,1.48073307307451e-05,1.49621021474317e-05,1.51162088764313e-05,1.52696647114848e-05,1.54224829120699e-05,1.55746762339917e-05,1.57262569576699e-05,1.58772369143369e-05,1.60276275103337e-05,1.61774397496749e-05,1.6326684255033e-05,1.64753712872792e-05,1.66235107637016e-05,1.67711122750127e-05,1.69181851012435e-05,1.70647382266158e-05,1.72107803534722e-05,1.73563199153395e-05,1.75013650891898e-05,1.76459238069621e-05,1.77900037663986e-05,1.7933612441247e-05,1.80767570908729e-05,1.82194447693279e-05,1.83616823339073e-05,1.85034764532373e-05,1.86448336149203e-05,1.87857601327707e-05,1.89262621536669e-05,1.90663456640459e-05,1.92060164960626e-05,1.93452803334361e-05,1.94841427170027e-05,1.9622609049993e-05,1.97606846030518e-05,1.98983745190146e-05
40000,0,9.8411872616434e-07,1.57582014192502e-06,2.0977954944578e-06,2.55775386375655e-06,2.97210124392654e-06,3.35197913178003e-06,3.70493221189938e-06,4.03625960802166e-06,4.34981815227962e-06,4.64850210317739e-06,4.93454010638503e-06,5.20968609165183e-06,5.47534627997869e-06,5.73266628423175e-06,5.98259244911217e-06,6.225916067232e-06,6.46330591254533e-06,6.69533261716233e-06,6.92248723489573e-06,7.14519558457159e-06,7.36382947836212e-06,7.57871561622356e-06,7.79014270771973e-06,7.99836723073868e-06,8.20361813005299e-06,8.40610068271529e-06,8.60599970236984e-06,8.80348221435113e-06,8.9986997036417e-06,9.19179001543346e-06,9.38287897113321e-06,9.57208174973328e-06,9.75950407450457e-06,9.88980034554028e-06,1.00164925537806e-05,1.01428515087255e-05,1.03049209256194e-05,1.04863941426887e-05,1.06663696941396e-05,1.08449121865377e-05,1.10220810730658e-05,1.11979312294217e-05,1.13725134499456e-05,1.15458748768549e-05,1.1718059373123e-05,1.18891078476674e-05,1.20590585400087e-05,1.22279472703441e-05,1.23958076599924e-05,1.25626713263602e-05,1.27285680559186e-05,1.28935259581356e-05,1.30575716028589e-05,1.3220730143271e-05,1.33830254262273e-05,1.35444800915268e-05,1.37051156614468e-05,1.38649526216901e-05,1.4024010494735e-05,1.41823079064485e-05,1.43398626467108e-05,1.44966917247013e-05,1.46528114194165e-05,1.48082373259194e-05,1.4962984397757e-05,1.51170669859349e-05,1.52704988747866e-05,1.54232933150422e-05,1.55754630543621e-05,1.57270203655728e-05,1.58779770728193e-05,1.60283445758189e-05,1.61781338723885e-05,1.6327355579395e-05,1.64760199522648e-05,1.6624136903174e-05,1.677171601803e-05,1.69187665723426e-05,1.70652975460744e-05,1.72113176375524e-05,1.73568352765123e-05,1.75018586363444e-05,1.76463956456e-05,1.77904539988138e-05,1.79340411666937e-05,1.80771644057225e-05,1.82198307672141e-05,1.83620471058624e-05,1.85038200878194e-05,1.86451561983317e-05,1.87860617489693e-05,1.89265428844704e-05,1.9066605589229e-05,1.92062556934486e-05,1.93454988789831e-05,1.94843406848838e-05,1.96227865126727e-05,1.97608416313573e-05,1.98985111822028e-05
60000,0,1.07378234180755e-06,1.61956693798976e-06,2.12542276156718e-06,2.57727010450185e-06,2.98684765766375e-06,3.36365811108595e-06,3.71451462843029e-06,4.04434271697257e-06,4.35679043251709e-06,4.6546274006827e-06,4.94000394839141e-06,5.21462271606144e-06,5.47985517248735e-06,5.73682269896104e-06,5.98645432573097e-06,6.22952870889181e-06,6.4667052277654e-06,6.6985474151203e-06,6.92554088154911e-06,7.14810721789401e-06,7.36661491362833e-06,7.58138802964046e-06,7.79271315908453e-06,8.00084506754514e-06,8.20601130316631e-06,8.40841599530761e-06,8.60824300794336e-06,8.80565857553537e-06,9.00081352049041e-06,9.19384512980255e-06,9.38487875215193e-06,9.57402916421925e-06,9.76140174530586e-06,9.89186390399014e-06,1.00185085520047e-05,1.01448222130786e-05,1.03066339349987e-05,1.04880675362976e-05,1.06680048240394e-05,1.08465102788595e-05,1.10236432428168e-05,1.11994584932518e-05,1.13740067371969e-05,1.15473350391553e-05,1.17194871927436e-05,1.18905040448253e-05,1.20604237792662e-05,1.22292821662322e-05,1.23971127819657e-05,1.25639472031734e-05,1.27298151795019e-05,1.28947447870343e-05,1.30587625652932e-05,1.32218936398632e-05,1.33841618324384e-05,1.35455897598373e-05,1.37061989233127e-05,1.38660097892997e-05,1.40250418625911e-05,1.41833137527943e-05,1.43408432348183e-05,1.44976473040365e-05,1.46537422266954e-05,1.48091435860663e-05,1.49638663247757e-05,1.51179247837011e-05,1.52713327377709e-05,1.54241034289694e-05,1.55762495968141e-05,1.57277835065406e-05,1.58787169752082e-05,1.60290613959125e-05,1.61788277602749e-05,1.63280266793589e-05,1.6476668403148e-05,1.66247628387084e-05,1.67723195671446e-05,1.69193478594471e-05,1.70658566913216e-05,1.72118547570812e-05,1.73573504826731e-05,1.75023520379075e-05,1.76468673479499e-05,1.77909041041297e-05,1.79344697741172e-05,1.8077571611514e-05,1.82202166648984e-05,1.83624117863651e-05,1.85041636395932e-05,1.86454787074759e-05,1.87863632993406e-05,1.89268235577868e-05,1.90668654651674e-05,1.92064948497366e-05,1.93457173914845e-05,1.94845386276793e-05,1.96229639581359e-05,1.97609986502261e-05,1.98986478436466e-05
80000,0,1.16335991024084e-06,1.66283117433491e-06,2.15278217633332e-06,2.59663715694526e-06,3.00150711359511e-06,3.3752838685644e-06,3.72406300809564e-06,4.05240320396606e-06,4.36374715512699e-06,4.66074166168703e-06,4.9454597314602e-06,5.21955329142906e-06,5.4843594020589e-06,5.7409754249327e-06,5.99031321000052e-06,6.23313886385077e-06,6.47010242881293e-06,6.70176037721692e-06,6.92859290313092e-06,7.15101738800434e-06,7.36939901173026e-06,7.58405920549606e-06,7.7952824528051e-06,8.00332181186221e-06,8.20840343780006e-06,8.41073031496306e-06,8.61048535965165e-06,8.80783401695193e-06,9.00292644782357e-06,9.19589938191808e-06,9.38687769583969e-06,9.57597576445447e-06,9.763298623475e-06,9.89392666921442e-06,1.00205237763102e-05,1.01467921618865e-05,1.03083462266481e-05,1.04897402295908e-05,1.06696392705841e-05,1.08481077043971e-05,1.10252047620141e-05,1.12009851224576e-05,1.13754994054816e-05,1.15487945978986e-05,1.17209144239867e-05,1.1891899668569e-05,1.20617884598677e-05,1.22306165180259e-05,1.23984173742161e-05,1.25652225644504e-05,1.27310618015552e-05,1.28959631282322e-05,1.30599530536814e-05,1.32230566758922e-05,1.33852977913995e-05,1.3546698994043e-05,1.37072817640527e-05,1.3867066548598e-05,1.40260728347874e-05,1.41843192159709e-05,1.43418234520873e-05,1.4498602524706e-05,1.46546726873252e-05,1.48100495114263e-05,1.49647479287167e-05,1.5118782269948e-05,1.52721663006451e-05,1.54249132540486e-05,1.55770358615351e-05,1.57285463807509e-05,1.58794566216719e-05,1.6029777970774e-05,1.61795214134852e-05,1.63286975550674e-05,1.64773166400635e-05,1.66253885704318e-05,1.67729229224758e-05,1.69199289626689e-05,1.70664156624622e-05,1.72123917121568e-05,1.7357865533913e-05,1.75028452939636e-05,1.76473389140902e-05,1.77913540824188e-05,1.7934898263584e-05,1.80779787083083e-05,1.82206024624362e-05,1.8362776375465e-05,1.85045071086033e-05,1.86458011423924e-05,1.8786664783919e-05,1.89271041736457e-05,1.90671252918863e-05,1.92067339649472e-05,1.93459358709562e-05,1.94847365454007e-05,1.962314138639e-05,1.97611556596615e-05,1.98987845033455e-05
100000,0,1.25241592352795e-06,1.70559529372806e-06,2.17987405623725e-06,2.61585626848008e-06,3.01608040378614e-06,3.38685685011431e-06,3.73357760096829e-06,4.06044121223492e-06,4.37068840435502e-06,4.66684493710114e-06,4.95090748719027e-06,5.22447783790148e-06,5.4888589819047e-06,5.7451244710786e-06,5.99416910816751e-06,6.23674653664484e-06,6.47349751911802e-06,6.7049715061571e-06,6.93164330186304e-06,7.15392609679701e-06,7.37218177433563e-06,7.58672914529697e-06,7.79785059026997e-06,8.00579746498854e-06,8.21079453518172e-06,8.41304364285038e-06,8.61272675861297e-06,8.81000853967413e-06,9.00503848667344e-06,9.19795277277394e-06,9.38887580315396e-06,9.57792155136149e-06,9.76519470990086e-06,9.8959886421818e-06,1.00225382276208e-05,1.01487613560306e-05,1.031005780133e-05,1.04914122233025e-05,1.06712730344798e-05,1.08497044638293e-05,1.10267656313105e-05,1.12025111176661e-05,1.13769914554022e-05,1.15502535536635e-05,1.17223410674075e-05,1.18932947194315e-05,1.20631525823245e-05,1.22319503262155e-05,1.23997214372136e-05,1.25664974106417e-05,1.27323079225103e-05,1.28971809821428e-05,1.30611430684197e-05,1.32242192517373e-05,1.33864333034734e-05,1.35478077944911e-05,1.37083641839989e-05,1.38681228999024e-05,1.40271034116276e-05,1.4185324296268e-05,1.43428032987946e-05,1.4499557386974e-05,1.4655602801558e-05,1.48109551022394e-05,1.49656292098089e-05,1.51196394448934e-05,1.52729995636166e-05,1.5425722790477e-05,1.55778218487122e-05,1.57293089883815e-05,1.58801960123789e-05,1.60304943005631e-05,1.61802148321703e-05,1.63293682066631e-05,1.64779646631457e-05,1.66260140984707e-05,1.67735260841427e-05,1.692050988212e-05,1.70669744596009e-05,1.72129285028768e-05,1.73583804303235e-05,1.75033384045978e-05,1.76478103440996e-05,1.77918039337535e-05,1.79353266351607e-05,1.8078385696166e-05,1.82209881598827e-05,1.83631408732122e-05,1.85048504948944e-05,1.86461235031208e-05,1.8786966202739e-05,1.89273847320769e-05,1.90673850694107e-05,1.92069730391006e-05,1.93461543174145e-05,1.94849344380599e-05,1.96233187974424e-05,1.97613126596671e-05,1.98989211612988e-05
120000,0,1.34042475101999e-06,1.74784149867168e-06,2.20669884786233e-06,2.63492868927671e-06,3.03056831332223e-06,3.39837749703735e-06,3.74305865464915e-06,4.06845688372281e-06,4.3776142637688e-06,4.67293727747198e-06,4.95634724698075e-06,5.22939637551322e-06,5.49335392517146e-06,5.7492698462925e-06,5.99802202645551e-06,6.24035173179543e-06,6.47689050210136e-06,6.70818080463931e-06,6.93469207996278e-06,7.15683334616304e-06,7.3749632031095e-06,7.58939785054765e-06,7.80041757286581e-06,8.00827202822123e-06,8.21318459653743e-06,8.41535598013705e-06,8.61496720594444e-06,8.81218214477429e-06,9.00714963807136e-06,9.20000530336315e-06,9.39087307505142e-06,9.57986652586216e-06,9.76709000547165e-06,9.89804982386015e-06,1.00245519068591e-05,1.01507297963918e-05,1.03117686598067e-05,1.0493083518166e-05,1.06729061164324e-05,1.0851300557835e-05,1.10283258513585e-05,1.12040364795045e-05,1.13784828875609e-05,1.15517119070282e-05,1.17237671235613e-05,1.18946891979455e-05,1.20645161471477e-05,1.2233283591291e-05,1.24010249714282e-05,1.2567771742198e-05,1.27335535427988e-05,1.28983983491797e-05,1.3062332609904e-05,1.32253813677776e-05,1.33875683690231e-05,1.35489161615287e-05,1.37094461834834e-05,1.38691788435304e-05,1.40281335934148e-05,1.41863289939754e-05,1.43437827752169e-05,1.45005118911047e-05,1.46565325696455e-05,1.48118603587459e-05,1.49665101682809e-05,1.51204963087553e-05,1.52738325268926e-05,1.54265320384516e-05,1.55786075585327e-05,1.57300713296099e-05,1.58809351474979e-05,1.60312103854393e-05,1.61809080164812e-05,1.63300386342886e-05,1.64786124725293e-05,1.66266394229519e-05,1.67741290522645e-05,1.69210906179121e-05,1.70675330828426e-05,1.72134651293394e-05,1.73588951719957e-05,1.75038313698947e-05,1.76482816380565e-05,1.77922536582063e-05,1.79357548889136e-05,1.8078792575148e-05,1.8221373757293e-05,1.83635052796563e-05,1.8505193798511e-05,1.86464457897005e-05,1.87872675558353e-05,1.89276652331101e-05,1.90676447977656e-05,1.92072120722175e-05,1.93463727308753e-05,1.94851323056685e-05,1.96234961913007e-05,1.97614696502462e-05,1.9899057817506e-05
140000,0,1.42670341166985e-06,1.78955222172027e-06,2.23325712069095e-06,2.65385567112944e-06,3.04497162023339e-06,3.40984624606993e-06,3.75250641429224e-06,4.07645035909779e-06,4.38452481626466e-06,4.67901873298609e-06,4.96177904203282e-06,5.23430892418752e-06,5.49784424494184e-06,5.75341155943026e-06,6.00187197106505e-06,6.24395445380956e-06,6.48028138117424e-06,6.71138827535568e-06,6.93773923964294e-06,7.15973913799008e-06,7.37774329971427e-06,7.59206532275042e-06,7.80298340197751e-06,8.0107455028558e-06,8.21557362309191e-06,8.41766732798935e-06,8.61720670276207e-06,8.81435483332373e-06,9.00925990304775e-06,9.20205697467794e-06,9.39286951248803e-06,9.58181068887765e-06,9.76898451107498e-06,9.90011021521653e-06,1.00265648149472e-05,1.01526974838501e-05,1.03134788028397e-05,1.04947541149148e-05,1.06745385171473e-05,1.08528959870927e-05,1.10298854228103e-05,1.12055612085995e-05,1.13799737025598e-05,1.15531696585708e-05,1.1725192593003e-05,1.18960831046435e-05,1.20658791548481e-05,1.22346163137426e-05,1.24023279773297e-05,1.25690455595694e-05,1.27347986628523e-05,1.28996152297561e-05,1.30635216785302e-05,1.32265430243921e-05,1.33887029884113e-05,1.35500240955029e-05,1.37105277628382e-05,1.38702343797994e-05,1.40291633804525e-05,1.41873333093831e-05,1.43447618816309e-05,1.4501466037362e-05,1.46574619918397e-05,1.48127652811859e-05,1.49673908043618e-05,1.51213528617514e-05,1.52746651906804e-05,1.54273409981695e-05,1.55793929911838e-05,1.5730833404614e-05,1.58816740271971e-05,1.60319262255621e-05,1.61816009665688e-05,1.63307088380866e-05,1.64792600683488e-05,1.66272645440022e-05,1.67747318269603e-05,1.69216711701572e-05,1.70680915322919e-05,1.72140015916422e-05,1.73594097590208e-05,1.7504324189939e-05,1.76487527960394e-05,1.77927032558496e-05,1.79361830249095e-05,1.80791993453152e-05,1.82217592547225e-05,1.83638695948473e-05,1.85055370194978e-05,1.86467680021711e-05,1.87875688432424e-05,1.89279456767751e-05,1.9067904476976e-05,1.92074510643183e-05,1.93465911113546e-05,1.94853301482384e-05,1.96236735679725e-05,1.97616266314022e-05,1.98991944719665e-05
160000,0,1.51058003389068e-06,1.830710533595e-06,2.25954956227422e-06,2.67263846649541e-06,3.05929109544558e-06,3.42126352941938e-06,3.76192112263057e-06,4.08442177776607e-06,4.39142014407453e-06,4.68508935347309e-06,4.96720290335148e-06,5.23921550373726e-06,5.5023299542349e-06,5.75754961931023e-06,6.00571894817394e-06,6.24755470717998e-06,6.48367015973867e-06,6.71459392099204e-06,6.94078478311181e-06,7.16264347416245e-06,7.38052206580973e-06,7.59473156340544e-06,7.80554807898813e-06,8.01321789018624e-06,8.21796161606852e-06,8.41997768757229e-06,8.61944525018078e-06,8.81652660639277e-06,9.01136928263213e-06,9.20410778770968e-06,9.39486511641898e-06,9.58375404132844e-06,9.77087822759781e-06,9.90216981721719e-06,1.00285769528065e-05,1.01546644192849e-05,1.03151882311905e-05,1.04964240142815e-05,1.06761702373295e-05,1.08544907522803e-05,1.10314443463177e-05,1.12070853055774e-05,1.13814639010007e-05,1.15546268088693e-05,1.17266174762874e-05,1.1897476440058e-05,1.20672416059365e-05,1.223594849406e-05,1.24036304553878e-05,1.25703188632061e-05,1.27360432831022e-05,1.29008316242855e-05,1.30647102746942e-05,1.32277042219598e-05,1.33898371620006e-05,1.35511315967607e-05,1.37116089223951e-05,1.38712895090268e-05,1.40301927730439e-05,1.41883372427806e-05,1.43457406183132e-05,1.45024198260099e-05,1.46583910683925e-05,1.48136698697994e-05,1.49682711182801e-05,1.51222091040996e-05,1.52754975551874e-05,1.54281496698278e-05,1.55801781468527e-05,1.57315952135713e-05,1.5882412651645e-05,1.60326418210912e-05,1.6182293682584e-05,1.63313788181995e-05,1.64799074507386e-05,1.66278894617484e-05,1.67753344083495e-05,1.6922251538967e-05,1.70686498080536e-05,1.72145378898833e-05,1.735992419149e-05,1.75048168648157e-05,1.76492238181269e-05,1.77931527267559e-05,1.79366110432148e-05,1.80796060067284e-05,1.82221446522265e-05,1.83642338188351e-05,1.85058801578994e-05,1.8647090140572e-05,1.87878700649948e-05,1.89282260631016e-05,1.9068164107067e-05,1.92076900154235e-05,1.93468094588686e-05,1.94855279657811e-05,1.96238509274652e-05,1.97617836031386e-05,1.98993311246797e-05
180000,0,1.5915039446686e-06,1.87130049853275e-06,2.28557697461008e-06,2.69127832770966e-06,3.07352750275686e-06,3.4326297748043e-06,3.77130302000273e-06,4.09237127788583e-06,4.39830032877289e-06,4.69114918840914e-06,4.97261886174737e-06,5.2441161338659e-06,5.50681106600666e-06,5.76168403471351e-06,6.0095629639373e-06,6.25115249638523e-06,6.48705684118743e-06,6.71779774422794e-06,6.94382871257324e-06,7.16554635656109e-06,7.38329950305309e-06,7.59739657401074e-06,7.80811160527895e-06,8.01568919150495e-06,8.22034857668928e-06,8.42228706004971e-06,8.62168284931437e-06,8.81869746505074e-06,9.01347777785313e-06,9.20615774344895e-06,9.39685988779872e-06,9.58569658413434e-06,9.77277115592649e-06,9.90422863082756e-06,1.00305883213575e-05,1.01566306035749e-05,1.03168969456198e-05,1.04980932169987e-05,1.06778012776839e-05,1.08560848540757e-05,1.10330026225324e-05,1.12086087710644e-05,1.1382953483485e-05,1.15560833585012e-05,1.17280417739689e-05,1.1898869204721e-05,1.20686035009235e-05,1.22372801327329e-05,1.2404932406072e-05,1.25715916535583e-05,1.27372874039797e-05,1.2902047533181e-05,1.30658983987917e-05,1.32288649608594e-05,1.33909708901538e-05,1.3552238665649e-05,1.37126896624859e-05,1.38723442315296e-05,1.40312217714921e-05,1.41893407944576e-05,1.43467189855404e-05,1.45033732573125e-05,1.46593197995557e-05,1.48145741248267e-05,1.49691511102647e-05,1.51230650360176e-05,1.52763296206206e-05,1.54289580536235e-05,1.55809630257265e-05,1.57323567566596e-05,1.58831510210102e-05,1.6033357172186e-05,1.61829861646778e-05,1.63320485747701e-05,1.64805546198334e-05,1.6628514176317e-05,1.6775936796551e-05,1.69228317244536e-05,1.70692079102325e-05,1.72150740241604e-05,1.73604384694947e-05,1.75053093946094e-05,1.76496947043974e-05,1.77936020709976e-05,1.79370389438962e-05,1.80800125594484e-05,1.82225299498602e-05,1.83645979516695e-05,1.85062232137604e-05,1.86474122049429e-05,1.87881712211272e-05,1.89285063921194e-05,1.90684236880638e-05,1.92079289255537e-05,1.93470277734333e-05,1.94857257583086e-05,1.96240282697865e-05,1.97619405654588e-05,1.98994677756452e-05
200000,2.68101676667135e-06,1.66909877717662e-06,1.91130748115409e-06,2.31134027155821e-06,2.70977650636003e-06,3.0876815988363e-06,3.44394540549847e-06,3.78065234438011e-06,4.10029899638116e-06,4.40516545128365e-06,4.69719828692042e-06,4.97802694783853e-06,5.24901083416847e-06,5.51128759315062e-06,5.76581481438423e-06,6.01340402448784e-06,6.2547478258898e-06,6.49044142890418e-06,6.72099974773673e-06,6.94687103022666e-06,7.16844778706369e-06,7.38607561309891e-06,7.60006035606227e-06,7.81067398222948e-06,8.01815940810281e-06,8.22273450617481e-06,8.42459544658421e-06,8.62391950127557e-06,8.82086741036598e-06,9.01558538973845e-06,9.20820684288548e-06,9.39885382758092e-06,9.58763831821445e-06,9.77466329694675e-06,9.90628665701229e-06,1.00325989215201e-05,1.01585960375984e-05,1.03186049468881e-05,1.04997617237982e-05,1.06794316389146e-05,1.08576782931564e-05,1.10345602521056e-05,1.12101316056865e-05,1.1384442450614e-05,1.1557539308044e-05,1.17294654866019e-05,1.19002613991646e-05,1.20699648403193e-05,1.22386112302508e-05,1.24062338298516e-05,1.25728639310759e-05,1.27385310259161e-05,1.29032629568556e-05,1.30670860512181e-05,1.32300252414699e-05,1.33921041732332e-05,1.35533453025148e-05,1.37137699834424e-05,1.38733985476253e-05,1.40322503761005e-05,1.41903439647037e-05,1.4347696983589e-05,1.45043263315337e-05,1.46602481855809e-05,1.48154780465076e-05,1.49700307805443e-05,1.51239206577234e-05,1.52771613871874e-05,1.54297661497535e-05,1.55817476279924e-05,1.57331180340563e-05,1.58838891354609e-05,1.6034072279006e-05,1.6183678413001e-05,1.63327181079409e-05,1.64812015757677e-05,1.66291386878349e-05,1.67765389916842e-05,1.69234117267286e-05,1.70697658389335e-05,1.72156099945717e-05,1.73609525931261e-05,1.7505801779405e-05,1.76501654549296e-05,1.77940512886471e-05,1.793746672702e-05,1.80804190035359e-05,1.82229151476788e-05,1.83649619934004e-05,1.85065661871254e-05,1.86477341953232e-05,1.87884723116741e-05,1.89287866638583e-05,1.90686832199914e-05,1.92081677947294e-05,1.93472460550648e-05,1.94859235258325e-05,1.96242055949439e-05,1.97620975183664e-05,1.98996044248625e-05
