0,349.5,699,1048.5,1398,1747.5,2097,2446.5,2796,3145.5,3495,3844.5,4194,4543.5,4893,5242.5,5592,5941.5,6291,6640.5,6990,7339.5,7689,8038.5,8388,8737.5,9087,9436.5,9786,10135.5,10485,10834.5,11184,11533.5,11883,12232.5,12582,12931.5,13281,13630.5,13980,14329.5,14679,15028.5,15378,15727.5,16077,16426.5,16776,17125.5,17475,17824.5,18174,18523.5,18873,19222.5,19572,19921.5,20271,20620.5,20970,21319.5,21669,22018.5,22368,22717.5,23067,23416.5,23766,24115.5,24465,24814.5,25164,25513.5,25863,26212.5,26562,26911.5,27261,27610.5,27960,28309.5,28659,29008.5,29358,29707.5,30057,30406.5,30756,31105.5,31455,31804.5,32154,32503.5,32853,33202.5,33552,33901.5,34251,34600.5,34950
3,-1,-1,-1,-1,4923614.99916936,1128167.14650827,24047.070345508,24047.070345508,24047.070345508,24047.070345508,24047.070345508,24047.070345508,24047.070345508,24047.070345508,24047.070345508,24047.070345508,24047.070345508,24047.070345508,24047.070345508,24047.070345508,24047.070345508,24047.070345508,24047.070345508,24047.070345508,24047.070345508,24047.070345508,24047.070345508,24047.070345508,24047.070345508,21645.4056817465,18800.9648526442,16268.1667474384,14029.9586213695,12064.8820790513,10349.1776273052,8858.32860586397,7568.15553070039,6455.55504028982,5498.96395295498,4678.61632202926,3976.64944757966,3377.10422172833,2865.85236470216,2430.48312692089,2060.16166135269,1745.47835020472,1478.2967548181,1251.60684257463,1059.38738289757,896.479647481762,758.473323985593,641.604727301557,542.666951967518,458.930705182105,388.0760334199,328.132521299945,277.427951718088,234.544094447283,198.27878523165,167.613477707069,141.685533342592,119.764596758848,101.232482029057,85.566068082472,72.3227672273926,61.1281898311407,51.6656804715318,43.6674467800079,36.9070422321226,31.1929988659576,26.3634358943593,22.281495975865,18.8314864828298,15.91559946161,13.4511639846971,11.3682977256142,9.60793190138008,8.12013909901055,6.86271936549374,5.80000476348053,4.90184870177752,4.14277152692017,3.50123824902934,2.95904799091864,2.50081789561935,2.11354689065413,1.78624696112858,1.50963149056864,1.27585184152206,1.07827471231849,0.911293798195178,0.770171429914098,0.650903070011911,0.550104469508345,0.464915445450015,0.392918729545237,0.332071382306546,0.280646827264724,0.23718586095694,0.200455248933623
6,-1,-1,-1,-1,-1,20726055.3644922,12875940.1333675,7893177.57112068,4849484.06620962,2977376.22202947,1832865.46294403,1153946.85120729,772574.828808319,572647.307904769,472843.562119614,420878.02282867,388844.334144657,364882.666242814,344441.010092206,325295.559364314,306031.446107451,285869.579308766,264631.943796518,242585.111609662,220230.796103045,198128.046338971,176779.694656015,156578.294730094,137793.094815235,120579.909052402,105000.939296249,91046.8681175125,78657.3372446293,67738.2238139473,58175.3601029301,49844.9319216517,42621.0279858532,36380.8704169067,31008.2293912424,26395.4620180938,22444.5416933021,19067.3718285501,16185.6127976205,13730.1954678771,11640.6491736549,9864.33579151797,8355.65355224393,7075.2530531921,5989.29231590329,5068.74648635193,4288.77988568887,3628.18275245939,3068.87150652604,2595.44919173332,2194.82152418507,1855.8633914927,1569.13049981436,1326.61099469408,1121.51217891435,948.077839809274,801.432128366567,677.446369263722,572.625603529771,484.012061290543,409.103124467854,345.781665742787,292.25694049333,247.014464284165,208.773532230663,176.451231038593,149.131962745096,126.041644127792,106.525870227698,90.0314370538545,76.0907096647195,64.308399564066,54.3503815728169,45.9342366787344,38.8212552475424,32.8096756360008,27.7289677442452,23.435000296501,19.8059554306051,16.7388751785425,14.1467422050926,11.9560122277582,10.104528283721,8.53975779178293,7.21730247894534,6.09963895700816,5.15505426013971,4.35674617276487,3.68206284333652,3.11186012488227,2.62995841879812,2.22268361826875,1.87847913153709,1.5875779803736,1.34172567247958,1.13394598638523
9,-1,-1,-1,-1,-1,-1,37556626.2694954,26372777.3103292,18397054.9645414,12945826.2544247,9201741.68473523,6603932.50231032,4794267.61562329,3538981.79704201,2677235.92213166,2091768.96995396,1694171.58086831,1418648.95857625,1219191.19298595,1066491.47133878,943401.367862319,840128.95795044,750778.253883288,671555.242278471,600003.225175232,534623.695821679,474588.483044505,419486.056384267,369118.565275098,323362.59559763,282088.880649968,245126.10268036,212252.618253725,183203.173873238,157681.92715564,135376.668540951,115971.626485647,99157.7741039841,84640.4168879487,72144.2771978814,61416.4768346762,52227.8657086701,44373.1196278965,37669.9727363418,31957.8823058289,27096.3573621167,22963.1238400273,19452.2498554522,16472.3154624008,13944.6810777774,11801.8862877545,9986.19456761981,8448.28820253321,7146.110212532,6043.84538635269,5111.02983801909,4321.7772167166,3654.10937135274,3089.37956293109,2611.77699032995,2207.90227934622,1866.40456511449,1577.67179729607,1333.56686673525,1127.20306227587,952.753201387744,805.287531592722,680.636170798853,575.272446673962,486.214013409429,410.939075048817,347.315434798927,293.540426178018,248.090070944621,209.67605647693,177.209337076101,149.769344417085,126.577946380162,106.97742455055,90.4118520724002,76.4113481488586,64.5787657617264,54.5784372676489,46.1266602348654,38.983654774645,32.9467650258943,27.8447125049041,23.5327387008999,19.8884994034115,16.8085944872604,14.2056348474506,12.0057633718046,10.1465596896606,8.57526930120151,7.24730687962261,6.12499130614039,5.17647656483697,4.37484817586014,3.69735953840014,3.12478652178659
12,-1,-1,-1,-1,-1,-1,74243506.5409874,57302055.0599101,42351902.1345492,31008875.6173373,22849772.6466957,17005010.3803431,12781157.3344599,9701834.41083416,7445404.70498271,5790274.19531445,4578013.821348,3690468.99397557,3036998.26841664,2548277.01693523,2173195.55798805,1876154.44181816,1633632.14721754,1430447.7332424,1256664.44807219,1105573.55008887,972559.76532127,854449.888822889,749072.229361038,654919.416405302,570891.626398374,496116.277697129,429834.779660635,371340.559780848,319951.49329233,275002.634162451,235849.203008905,201873.494543989,172492.135826429,147161.956866561,125383.839116883,106704.516287243,90716.598972045,77057.2069524322,65405.6030931469,55480.1815067854,47035.1004927975,39856.7848789813,33760.4617632977,28586.8422264309,24199.0203973637,20479.6297665783,17328.2735752489,14659.2299420073,12399.4216328249,10486.6337144865,8867.95865794262,7498.44689707952,6339.9407250581,5360.07021846655,4531.39125077262,3830.64732985789,3238.13879015946,2737.18466887042,2313.66432227412,1955.62744815995,1652.96265044772,1397.11600417801,1180.85225387937,998.052312803175,843.541634763743,712.94481610847,602.562464954302,509.266960334101,430.414226727376,363.769080145704,307.442070050186,259.83605542355,219.601020838785,185.595865965631,156.856095388635,132.566499859741,112.038059473955,94.6884174346675,80.0253732343151,67.6329289261575,57.1594940172964,48.3079153429954,40.8270497657849,34.5046411061001,29.1612995658272,24.6454130802908,20.8288463999057,17.6033059991241,14.8772677636584,12.5733803476894,10.6262705698845,8.98068861068299,7.58994040505243,6.41456276692187
15,-1,-1,-1,-1,-1,-1,-1,98855459.4560365,78062405.1544771,59392586.6682851,44702695.9237161,33776798.9409907,25736528.7572559,19788487.1718125,15351630.6891551,12018663.6689097,9503298.44358583,7600229.99294679,6157790.61130671,5060421.17954578,4218506.42904936,3563027.76966861,3042418.92184694,2619697.57801752,2269211.51058535,1973375.58356065,1720011.83742938,1500525.81380471,1308761.25929795,1140262.85697707,991758.030892535,860772.768242742,745351.488310254,643865.127544179,554890.166832896,477139.39323696,409426.662893075,350651.719741011,299795.387323685,255919.079459334,218165.22271238,185756.92297761,157996.257433791,134261.150909863,114001.074985827,96731.9101163877,82030.3153030453,69527.9061100619,58905.4797566084,49887.4621845752,42236.6947527841,35749.6309488427,30251.9768291855,25594.7819265032,21650.9686017161,18312.2756127693,15486.5844737425,13095.5936494967,11072.8046868147,9361.78517542913,7914.67532341884,6690.90745557572,5656.11057130171,4781.17500553371,4041.4550749848,3416.09027190398,2887.42803781984,2440.53338709265,2062.77264967379,1743.46037112913,1473.55995965806,1245.43002227917,1052.60950492919,889.635763484985,751.89056350971,635.469753438212,537.072995034882,453.910480744425,383.624032864758,324.220375617334,274.014708060984,231.582991981216,195.721611814545,165.413269733975,139.798153719151,118.149564466287,99.8533123775494,84.3903020351872,71.3218114321157,60.2770492814903,50.9426380737131,43.0537249822423,36.3864687599289,30.7516897044919,25.9895026977033,21.964781163343,18.5633233277032,15.6886120667951,13.25907644791,11.2057772949067
18,-1,-1,-1,-1,-1,-1,-1,-1,-1,98042230.862528,75915876.3266002,58203603.6813267,44737074.0089329,34628279.6248049,27018997.6043182,21251384.3755946,16849467.2632498,13471204.0467969,10868074.9674873,8855856.96841957,7294558.48623887,6075558.07817786,5114086.15816472,4344921.05311501,3719288.26865919,3201783.71380976,2767171.41972951,2397484.08123169,2079782.70764008,1804609.43637037,1564952.55066521,1355528.54045082,1172262.35303807,1011907.88090907,871780.811250839,749580.862998656,643280.91080625,551062.078726514,471277.731374691,402433.962920581,343178.435862481,292292.696271466,248685.346373273,211384.876248696,179531.779911194,152370.011178847,129238.023183313,109559.685394826,92835.3500792824,78633.2865931549,66581.6400557665,56361.012896615,47697.7190150222,40357.7223833334,34141.2443787146,28878.0054954772,24423.055620172,20653.1410427425,17463.5543380314,14765.41396116,12483.3229033077,10553.3593343316,8921.3562959036,7541.43184036952,6374.73529302924,5388.3793946069,4554.53186608654,3849.64338463847,3253.79205246872,2750.12718551702,2324.39766382019,1964.55219488532,1660.40067376374,1403.32740776553,1186.04833831964,1002.40556416773,847.193473550899,716.011650615171,605.140452831357,511.43577937967,432.240080593971,365.307109106442,308.738295896192,260.928959043988,220.522828241437,186.373601379013,157.51244715581,133.120535003718,112.505815291613,95.0833926794278,80.3589369498578,67.9146614788243,57.3974721092766,48.5089505975475,40.9968887287572,34.6481331063174,29.2825377456599,24.7478529898178,20.915405799569,17.6764489026391
21,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,90795917.8342251,70542866.3168033,54930266.5438603,43032737.2054344,33950731.3157011,26977670.1528051,21590251.9270355,17405041.5432624,14139262.9233092,11581355.2565177,9569958.20592419,7979662.03159525,6712060.19996114,5690400.87278949,4855998.92395958,4165068.44017487,3585527.82718922,3093994.6638394,2673315.91777143,2310749.29746429,1996692.16718062,1723787.62434039,1486278.76985483,1279538.79531678,1099736.74624496,943609.602436943,808314.021885075,691333.736283392,590422.959861272,503571.33609992,428980.707764733,365047.736486711,310349.02520833,263627.085817173,223776.494903243,189830.119861978,160945.549199168,136391.945518401,115537.535702947,97837.908375958,82825.2315929907,70098.4485922657,59314.463030985,50180.2896006715,42446.1209223577,35899.2457198638,30358.7446273795,25670.8868086216,21705.1512743354,18350.8000976465,15513.9356463365,13114.9797373622,11086.5187438068,9371.46478714331,7921.4889944494,6695.68825071617,5659.45185692662,4783.49898741702,4043.06182797275,3417.19279122243,2888.17728149026,2441.03615634064,2063.10434750978,1743.67410016864,1473.69300488261,1245.50846674426,1052.65151320729,889.653915006144,751.893508767178,635.463387939654,537.061290063741,453.896070115206,383.608626372865,324.205049549359,274.000108620242,231.56947713258,195.709349673185,165.402306364342,139.788459466056,118.141065275361,99.8459106677684,84.383890340403,71.3162810736448,60.2722956572651,50.9385636708571,43.0502408820245,36.3834951660022,30.7491558581405,25.9873464267922
24,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,81131434.3091387,63840138.798912,50508079.7868037,40211519.5304578,32219036.5198414,25980312.7306319,21085610.837171,17228480.6640382,14177130.9482054,11753518.9155154,9818683.81102277,8263116.43245161,7000745.77452589,5964918.25315893,5105044.15736063,4383341.75124409,3771763.9350652,3249401.04880699,2800495.85746024,2413009.7175267,2077594.69941953,1786846.99586011,1534763.24682837,1316352.1270407,1127366.0082982,964122.040611777,823385.879703895,702296.456962862,598315.906335119,509193.942458869,432940.041139855,367799.627371133,312232.317957716,264891.362903125,224604.026580909,190352.934400127,161258.514176515,136562.668849967,115613.78059659,97853.0955936228,82802.4893621131,70053.5718097828,59258.0610084821,50119.3349876121,42385.0598684535,35840.7886053594,30304.4255976162,25621.4568991019,21660.8524008445,18311.5542170369,15479.4738563277,13084.9291125213,11060.4596363679,9348.96765369415,7902.1371671359,6679.09117571961,5645.25196812469,4771.37441885764,4032.72648538743,3408.3948206886,2880.69663498247,2434.68171783869,2057.71091979393,1739.09944011926,1469.81501880354,1242.22262612283,1049.86851773097,887.297608148616,749.899038013589,633.775594062049,535.633305915168,452.688107889656,382.586932288113,323.341005844848,273.269464215141,230.951689990953,195.187025700255,164.960721401774,139.415152601147,117.82549319457,99.5791541542825,84.1584052357482,71.1256870998407,60.1111974380182,50.8023991094442,42.935152762257,36.2862224534173
27,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,89695792.6216141,71203603.7863688,56808442.6416638,45579176.598077,36779259.441993,29848618.6813972,24364742.6762353,20007592.9040208,16532434.1006199,13749696.2353127,11510560.1116553,9697215.15132039,8216567.57404533,6995945.74592995,5979569.63308137,5125208.90964542,4401057.75316298,3783072.62638199,3252898.20755961,2796335.90493599,2402227.65560688,2061639.00529401,1767262.99627384,1512993.17245574,1293626.14769436,1104659.79494893,942158.181353578,802660.403416753,683116.723568368,580840.887496805,493471.719029283,418940.026057292,355438.732901418,301395.269473943,255445.852081798,216411.579487645,183276.375323787,155166.820597288,131333.890078316,111136.563289658,94027.2397363943,79538.8555069479,67273.5762430011,56892.9290891693,48109.2319236061,40678.1799937184,34392.4562098001,29076.2402409401,24580.5019979297,20778.9761732536,17564.7255996131,14847.2118591043,12549.8015607977,10607.6458599584,8965.87905692153,7578.08948449977,6405.02240370729,5413.4803347941,4575.39122226385,3867.01914153305,3268.29597396237,2762.2556758793,2334.55551083234,1973.07096188765,1667.55304550403,1409.33845764234,1191.10443785711,1006.66147450076,850.778025393793,719.03232065595,607.687071343115,513.58354926637,434.05204715305,366.836188906988,310.028949725899,262.018575962275,221.442873992762,187.150573742152,158.16867247425,133.67483359767,112.974058275462,95.4789685866444,80.6931432649471,68.1970335140765,57.6360595069281,48.7105499808281
30,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,96190649.5579026,76945844.9213804,61840367.0326174,49953268.5435808,40558960.2448223,33101361.2245689,27156287.1028146,22398743.8655819,18577594.5013366,15496616.1087977,13000765.8868839,10966730.53319,9296655.21270244,7913733.38308791,6758547.18523801,5785647.25513845,4960397.19891823,4256293.39981408,3652860.49127334,3134076.43865585,2687208.46024353,2301957.52767973,1969831.32715174,1683694.85289361,1437455.23125176,1225844.66105418,1044271.37086643,888715.316744095,755652.000254401,641993.403137367,545039.251330641,462434.704872193,392132.391884717,332357.770614477,281577.374606359,238469.76627221,201899.124648034,170891.407063997,144613.000985943,122351.748526303,103500.19549799,87540.8948624323,74033.5821428423,62604.03686871,52934.4475894,44755.1065034507,37837.271545079,31987.0474187082,27040.1514830918,22857.4447726389,19321.1222731495,16331.4695096329,13804.1043711468,11667.6338140667,9861.66464636731,8335.11604448062,7044.78886309283,5954.15325437601,5032.32171039224,4253.17947464305,3594.64842603771,3038.06410489032,2567.64860260027,2170.06464336342,1834.03840886612,1550.04054936978,1310.01643404877,1107.15806086867,935.711207118231,790.812386463915,668.351013294872,564.852882623682,477.381673094235,403.455688095806,340.977479537333,288.1743623642,243.548135484915,205.832584979902,173.957565554274,147.018642331894,124.251432490415,105.009919329909,88.7481238966243,75.0046144197966,63.3894142468568
