0,349.5,699,1048.5,1398,1747.5,2097,2446.5,2796,3145.5,3495,3844.5,4194,4543.5,4893,5242.5,5592,5941.5,6291,6640.5,6990,7339.5,7689,8038.5,8388,8737.5,9087,9436.5,9786,10135.5,10485,10834.5,11184,11533.5,11883,12232.5,12582,12931.5,13281,13630.5,13980,14329.5,14679,15028.5,15378,15727.5,16077,16426.5,16776,17125.5,17475,17824.5,18174,18523.5,18873,19222.5,19572,19921.5,20271,20620.5,20970,21319.5,21669,22018.5,22368,22717.5,23067,23416.5,23766,24115.5,24465,24814.5,25164,25513.5,25863,26212.5,26562,26911.5,27261,27610.5,27960,28309.5,28659,29008.5,29358,29707.5,30057,30406.5,30756,31105.5,31455,31804.5,32154,32503.5,32853,33202.5,33552,33901.5,34251,34600.5,34950
1.68,0.0170191050186211,0.0370007686528555,0.0583360424776884,0.0806678291891237,0.103823104479606,0.127700201924274,0.15223328896369,0.177377318864943,0.203100470968101,0.229379933176103,0.256199438776156,0.283547627637652,0.311416973138787,0.339803156384319,0.368704474856854,0.398121597522046,0.428057200129255,0.458516007485651,0.489504492909807,0.521030751490469,0.553104233132736,0.585734680799818,0.618929996702448,0.652688449466882,0.686961357484059,0.722214705007538,0.760053239916604,0.798816477411945,0.838289495449557,0.878385449303654,0.919054785761346,0.960264495633836,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
3.36,0.0161606155786345,0.0352383148327599,0.0556418670081552,0.0770347447390753,0.0992564845907346,0.122212096038298,0.145837020035171,0.17008153482335,0.194901945877386,0.220253831140506,0.246084856895121,0.272323833325489,0.298857717237862,0.325460962820812,0.35140345821974,0.384451222604887,0.420257838359306,0.457665133528576,0.496356934474462,0.536175644185793,0.577025786340958,0.618843444800761,0.661601951618509,0.705244491848858,0.749731118479517,0.795057378547817,0.841216068996383,0.8881989197244,0.935997582791375,0.984604920866239,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
5.04,0.0150367412868902,0.032771149496159,0.0516984357436337,0.071502112996051,0.0920193721345035,0.113135268987828,0.13474541956447,0.156732819482171,0.178941593356649,0.201123593133104,0.22272659378242,0.247724489588421,0.280312936175061,0.315528044011696,0.352666070991862,0.391428441859687,0.431670593279433,0.473281683527305,0.516124757153388,0.560199225706247,0.605492311155349,0.651987352019511,0.699668379220696,0.748522646381799,0.798542049137208,0.849723378577417,0.902061365078105,0.955569923808568,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
6.72,0.013924356589949,0.0302893451301991,0.0476864904065154,0.0658081998091854,0.0844710252841889,0.1035119235256,0.122741070507283,0.141888597989889,0.160457587831783,0.180229405821742,0.209981586247684,0.243326523376238,0.27914040787389,0.3170096312701,0.356732510920157,0.398051740589573,0.440972995062052,0.485473853114038,0.531525187524425,0.579102532066958,0.628192341272422,0.678765920842971,0.730843708077313,0.784448373364464,0.839607030166861,0.896352145018451,0.954720969497259,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
8.4,0.0128913984843408,0.0279724018019509,0.0439262578604882,0.0604457096844879,0.0773158107361941,0.0943090489696676,0.111116669262345,0.127188984036361,0.145203524858702,0.173610051431079,0.205967172198499,0.241110663379607,0.278648852002883,0.31815650580376,0.359615514634663,0.402994346535324,0.448248747930518,0.495347073232401,0.544234064985479,0.594931516037963,0.647473432853234,0.70190254724663,0.758271237877342,0.816640019050548,0.877076346638452,0.939655347121576,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
10.08,0.0119527675296383,0.0258650147914161,0.0405038612313663,0.0555580671818791,0.0707781936805141,0.0858678508219546,0.100372212905439,0.114076485373951,0.139096520305008,0.169330402797961,0.202884544098346,0.239193906206188,0.277760791674186,0.318594325577286,0.361639063047267,0.406840533386433,0.454112924012441,0.503475665419772,0.554976064339168,0.608676450862123,0.664654366139699,0.72299974851497,0.783814497303383,0.847211867279847,0.913317338224764,0.982270567448266,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
11.76,0.0111062752899313,0.0239667418090931,0.0374245220132418,0.0511632913560994,0.064901377611442,0.0782764896631481,0.0906370665815546,0.107773571167833,0.134657900416439,0.165765959280201,0.200119218060949,0.237063849603765,0.276572435776558,0.318573918222042,0.362981077579083,0.409702826664976,0.458795547849459,0.510329651445963,0.564401255757222,0.621125885333181,0.680636904188621,0.743085116272467,0.808640249569163,0.877493428559949,0.949860331974516,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
13.44,0.0103441491578781,0.0222616063746599,0.0346644273291158,0.0472319971464812,0.0596554189167227,0.0715117108088401,0.0819691978377799,0.103236659473352,0.13091354695874,0.162581396637041,0.197288397057129,0.234834325955066,0.275153721674045,0.318127186741906,0.36364504541759,0.411776024260622,0.462615436675708,0.516291967912097,0.572960905845586,0.632802056080125,0.696021055235738,0.7628526690783,0.833565898515213,0.908469780909398,0.987922372522771,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
15.12,0.00965725137083239,0.0207292374033883,0.0321907888948215,0.0437187250324179,0.0549827560465187,0.065503117006679,0.0768073107156441,0.0994764526199884,0.127547026035246,0.15947002935776,0.194469526432068,0.23252375692918,0.273501680050962,0.317230822619623,0.363774726227072,0.413245297016193,0.465800157274181,0.5216323355643,0.580967777288202,0.644068428366856,0.711237988644234,0.782830349558287,0.859260682287793,0.941018929493626,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
16.8,0.00903668168536563,0.0193492480115057,0.0299699777604229,0.0405751170792573,0.0508186601675424,0.0601637621155242,0.0729184128575923,0.0961713861572534,0.12447540806615,0.156423044686266,0.191669304466744,0.230126369902105,0.271566090095324,0.315976268686575,0.363477945067494,0.414249071883188,0.468514542498224,0.526542100998485,0.588646301007731,0.655197282034813,0.726633592163813,0.803479103834757,0.886364876453142,0.976057574641829,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
