0,9500,19000,28500,38000,47500,57000,66500,76000,85500,95000,104500,114000,123500,133000,142500,152000,161500,171000,180500,190000,199500,209000,218500,228000,237500,247000,256500,266000,275500,285000,294500,304000,313500,323000,332500,342000,351500,361000,370500,380000,389500,399000,408500,418000,427500,437000,446500,456000,465500,475000,484500,494000,503500,513000,522500,532000,541500,551000,560500,570000,579500,589000,598500,608000,617500,627000,636500,646000,655500,665000,674500,684000,693500,703000,712500,722000,731500,741000,750500,760000,769500,779000,788500,798000,807500,817000,826500,836000,845500,855000,864500,874000,883500,893000,902500,912000,921500,931000,940500,950000
1.68,2705.65985913497,6260.92995761027,14757.3014516609,25473.3670133529,36210.3525883419,46942.058769084,57667.4210576698,68387.4768311252,79103.2637730996,89815.5526910886,100524.957672728,111231.931606736,121936.813826792,132639.892168218,143341.380303794,154041.472067274,164740.29807123,175438.013396167,186134.678384287,196830.428019528,207525.309387361,218219.40446405,228912.762760881,239605.456392227,250297.516908097,260988.970839991,271679.896373246,282370.276842961,293060.16732267,303749.60285082,314438.598281469,325127.186647879,335815.391303976,346503.190683235,357190.638682839,367877.755536177,378564.532662564,389251.025828915,399937.181761452,410623.0664531,421308.701794148,431994.022028628,442679.102362747,453363.954537977,464048.554755685,474732.950084495,485417.090158839,496101.03457164,506784.778982836,517468.311216169,528151.622578655,538834.77816679,549517.7610019,560200.52048615,570883.141685183,581565.574179266,592247.860808033,602929.996336227,613611.979779212,624293.816758528,634975.519524248,645657.022954121,656338.465751183,667019.705246383,677700.823162987,688381.844620837,699062.725473557,709743.448039236,720424.072762306,731104.589236417,741785.008276775,752465.283826116,763145.425801857,773825.502996842,784505.497914824,795185.354206697,805865.125138598,816544.741600138,827224.301210098,837903.787842484,848583.138417501,859262.420560203,869941.658307829,880620.75556774,891299.795582791,901978.710342781,912657.572290211,923336.313288347,934015.005655898,944693.596455693,955372.134160875,966050.539131269,976728.922856735,987407.2649064,998085.501827399,1008763.64812162,1019441.67519553,1030119.73928577,1040797.6397291,1051475.5419109
3.36,5086.36617339041,13327.3346988259,29411.4400344965,51006.6733081824,72673.0819828755,94318.2611778743,115938.63305265,137538.243544954,159121.102394275,180690.26008467,202248.045715434,223796.252072371,245336.228742918,266869.080281509,288395.658102819,309916.678580315,331432.706804929,352944.284646371,374451.81828028,395955.61832098,417456.011245604,438953.292404834,460447.669389577,481939.376056538,503428.544842602,524915.398367056,546400.018587655,567882.557587093,589363.232084883,610841.965457077,632318.976490485,653794.358030128,675268.220750651,696740.501587322,718211.415591231,739680.960012223,761149.125695639,782616.153567437,804081.948153992,825546.578818274,847010.104228579,868472.593169485,889934.070635382,911394.599467111,932854.085836782,954312.756347438,975770.522695918,997227.414977152,1018683.47563595,1040138.7218716,1061593.24996442,1083047.01571633,1104500.01898792,1125952.3167899,1147403.97290945,1168854.98192555,1190305.22493359,1211754.88433842,1233203.92469373,1254652.40974926,1276100.31950079,1297547.70224539,1318994.4505986,1340440.66897456,1361886.41742228,1383331.5865133,1404776.29217271,1426220.45187759,1447664.17998166,1469107.37919015,1490550.19033085,1511992.47653702,1533434.43807097,1554875.90078398,1576316.94710751,1597757.54230934,1619197.77107796,1640637.63116289,1662077.07558312,1683516.20265859,1704954.85124259,1726393.17298958,1747831.22229759,1769268.75057868,1790706.09765317,1812143.05437111,1833579.56175048,1855015.8074608,1876451.73715148,1897887.49596278,1919322.81546728,1940757.73424919,1962192.53483952,1983626.90154057,2005061.02949956,2026494.86129849,2047928.43147956,2069361.65616679,2090794.62866748,2112227.42362753
5.04,7546.03275421172,20578.6669417729,43981.3543902761,76631.8202164965,109418.164532359,142156.51667493,174840.152907171,207478.095025407,240079.033411528,272649.672826571,305195.157134014,337719.382640475,370225.369468379,402715.460097673,435191.658851548,467655.522630042,500108.28375452,532551.051191151,564984.80049034,597410.275198577,629828.149359807,662239.029629795,694643.458757765,727041.84266998,759434.655219902,791822.251639392,824204.911977851,856582.938221217,888956.538516026,921326.175900641,953691.753685129,986053.757900892,1018412.20195817,1050767.23406396,1083119.22682839,1115468.09698481,1147814.04662554,1180157.21332097,1212497.62840185,1244835.55941233,1277171.02101323,1309504.11484072,1341834.94405819,1374163.57191087,1406490.10768372,1438814.58794235,1471137.03021129,1503457.63969006,1535776.36272177,1568093.29973041,1600408.50556174,1632721.95650811,1665033.83732769,1697344.19323299,1729652.99083455,1761960.33434736,1794266.14994885,1826570.38591165,1858873.50145762,1891175.1199707,1923475.52367948,1955774.67425649,1988072.50901645,2020369.2410256,2052664.67752971,2084959.04888314,2117252.26597196,2149544.2801404,2181835.38108411,2214125.3480002,2246414.29964525,2278702.2032019,2310989.0258843,2343275.17587913,2375560.15659885,2407844.16069665,2440127.5596578,2472409.79800654,2504691.20525492,2536971.82441561,2569251.6860443,2601530.45216528,2633808.62486455,2666086.05151172,2698362.52877967,2730638.38721856,2762913.40745363,2795187.78775184,2827461.33412178,2859734.25542569,2892006.37844536,2924277.88883903,2956548.65651034,2988818.82205099,3021088.44473228,3053357.23264711,3085625.3710242,3117893.11040608,3150160.09642948,3182426.42186882
6.72,10036.2304847453,27870.2282610807,58488.6415915058,102379.857164587,146475.185596002,190484.728291541,234398.879097618,278233.378499136,322003.272108829,365720.271588039,409393.185554308,453028.818592024,496632.451124851,540208.226454668,583759.498988371,627289.066552618,670799.153224567,714291.671491819,757768.261897566,801230.223063525,844678.840566373,888115.104616271,931540.008324164,974954.275452176,1018358.66852464,1061753.75187482,1105140.17178925,1148518.52059824,1191888.97282049,1235252.26001573,1278608.66081204,1321958.6573652,1365302.2887729,1408639.9762477,1451972.14553795,1495298.74959819,1538620.3116726,1581937.04379339,1625248.95064547,1668556.23631927,1711859.31717825,1755158.09868542,1798452.86466782,1841743.81172812,1885031.03810335,1928314.46448783,1971594.53947692,2014871.23546942,2058144.57208234,2101414.81841636,2144681.84841429,2187946.02626204,2231207.39382614,2274465.85674215,2317721.61064684,2360974.64753551,2404225.07152246,2447473.2846009,2490718.83182362,2533962.09852612,2577202.79530502,2620441.49558678,2663677.81903401,2706912.21153434,2750144.37491352,2793374.55193415,2836602.86332134,2879828.94961086,2923053.38361975,2966275.68643593,3009496.20216496,3052715.26453693,3095932.36632057,3139147.52695175,3182361.42742046,3225573.36552204,3268784.00488507,3311992.7709954,3355200.15171529,3398405.95942958,3441610.37387042,3484813.29753324,3528014.62271595,3571214.8187567,3614413.49070508,3657610.82216825,3700806.69963401,3744001.52995038,3787194.80755552,3830387.0429701,3873578.04898597,3916767.58395997,3959956.1722927,4003143.55715513,4046329.59110661,4089514.72951515,4132698.51737077,4175881.23653167,4219062.90802679,4262243.67955948
8.4,12497.7426975371,35134.2214580779,72956.8808802654,128281.362840841,183873.555140355,239331.052521922,294642.154269697,349831.11483313,404920.884834537,459929.323155446,514869.899167442,569753.046565831,624586.767576691,679377.522127265,734130.392849871,788849.704721215,843538.827050849,898200.793549428,952837.940735022,1007452.64247128,1062046.57169817,1116621.42445116,1171178.49945574,1225719.17476641,1280244.43205347,1334755.44202481,1389252.82523822,1443737.69177789,1498210.40818285,1552671.86393242,1607122.72259575,1661563.33065335,1715994.43905498,1770416.28544081,1824829.19670135,1879233.84841518,1933630.6009048,1988019.65631753,2042401.27945612,2096775.77399569,2151143.66087425,2205504.95572886,2259859.94170077,2314208.95583817,2368552.05219986,2422889.69545943,2477221.62183587,2531548.5584905,2585870.25197505,2640186.88461784,2694499.02275053,2748806.34613571,2803109.20472382,2857407.61171703,2911701.88140187,2965992.03681167,3020278.23295554,3074560.53590383,3128839.04980914,3183113.68918248,3237384.83390883,3291652.36097937,3345916.75649133,3400177.3032637,3454434.98446842,3508689.43896345,3562940.84447826,3617189.19161942,3671434.40501432,3725676.78767941,3779916.43014626,3834153.02650532,3888387.12599289,3942618.45432602,3996847.41099003,4051073.71531426,4105297.40372523,4159518.58476645,4213737.64700643,4267953.98075135,4322168.32709124,4376380.42946806,4430590.06773453,4484797.75008175,4539003.12282352,4593206.09799091,4647407.4968678,4701606.5337819,4755803.67422201,4809999.12056513,4864192.42355208,4918383.90320355,4972573.40363381,5026760.89025175,5080946.72610646,5135130.78772038,5189313.20550951,5243493.93076717,5297672.7728571,5351850.24793341
10.08,14909.2684061247,42337.6057812346,87411.3086863006,154366.586523089,221642.631033694,288723.864290889,355597.790056244,422299.035626232,488859.797959174,555305.135969897,621654.230529479,687921.659795872,754118.789240664,820254.707630018,886336.755654941,952370.732294667,1018361.86349651,1084314.15395553,1150231.08889401,1216115.85511482,1281970.99185959,1347798.81908215,1413601.30538687,1479380.31108681,1545137.37249432,1610873.7417288,1676590.97240578,1742289.88027986,1807971.91089026,1873637.62192497,1939288.00480024,2004923.7546864,2070545.9377096,2136154.70453709,2201751.1239331,2267335.34861488,2332908.08234054,2398469.96391078,2464021.36053866,2529562.47757405,2595094.14736646,2660616.22912066,2726129.28908985,2791633.84271708,2857130.06144833,2922617.96637125,2988098.17808737,3053570.83178033,3119036.18910964,3184494.63050992,3249945.91555429,3315390.90792914,3380829.06126042,3446261.2153835,3511687.22942511,3577107.29559581,3642521.48904195,3707930.26382836,3773333.65147604,3838731.63951079,3904124.67206936,3969512.32749094,4034895.21626864,4100273.07751095,4165646.54199887,4231015.55390348,4296379.83363935,4361739.86671509,4427095.7918737,4492447.40372421,4557794.87784859,4623138.07089107,4688477.79750228,4753813.79531701,4819145.85967639,4884474.32774666,4949798.82480979,5015120.27413878,5080438.0034766,5145752.49353211,5211063.74538705,5276371.6033567,5341676.10994428,5406977.54761555,5472276.3235346,5537571.62034827,5602863.79665701,5668153.73100909,5733440.26978866,5798724.0977789,5864005.05292785,5929283.62271003,5994559.01712585,6059832.25925428,6125102.49474724,6190370.36480728,6255635.73666867,6320898.76273497,6386159.0215962,6451417.07090862
11.76,17274.2956566235,49462.6927633662,101878.636877331,180665.798142691,259811.971957362,338692.0350572,417294.360313522,495665.59053052,573848.668985716,651876.9933053,729776.032652859,807565.261554015,885259.974600578,962872.260626812,1040411.99528642,1117887.03957389,1195304.06629561,1272668.77925033,1349985.90114675,1427259.43316596,1504492.94642287,1581689.66958731,1658852.04531029,1735982.6825844,1813083.62277332,1890156.78204583,1967203.83227911,2044226.15179912,2121225.51038765,2198203.04759795,2275159.78663456,2352096.58756965,2429014.88328128,2505915.44850874,2582798.82312391,2659665.9400068,2736517.73990948,2813354.4583162,2890176.87968195,2966985.83965818,3043781.42909014,3120564.38626899,3197335.07708462,3274094.32343164,3350841.94516162,3427578.55753898,3504304.89503932,3581020.7947265,3657726.65182758,3734423.15226429,3811110.171304,3887788.49455156,3964457.80065769,4041118.76878041,4117771.24954285,4194415.82108127,4271052.55648067,4347682.0776807,4424303.6077153,4500918.27247245,4577526.27729855,4654126.96651962,4730720.87349334,4807308.93642721,4883889.81519001,4960465.01928258,5037034.16853596,5113597.08978533,5190154.63454065,5266706.42843923,5343252.64753349,5419793.46179084,5496328.53622483,5572859.23977601,5649384.29986176,5725904.24311145,5802419.77090575,5878930.57915192,5955436.29421776,6031937.38689052,6108434.42838299,6184926.92840553,6261414.5572284,6337898.43694807,6414378.06495697,6490853.39425037,6567325.05001484,6643792.34047909,6720256.17985452,6796715.67941614,6873171.69099462,6949624.02423408,7026072.73900682,7102517.70098467,7178959.17180684,7255397.28193219,7331832.20487002,7408263.36939859,7484691.4673828,7561116.29016634
13.44,19593.6959162037,56499.8037442332,116386.950550148,207209.332353221,298411.42540745,389264.835277502,479760.963070986,569960.084537443,659917.215371177,749675.037644068,839266.201183757,928715.655667948,1018043.06905365,1107264.05773239,1196390.88700828,1285434.32764234,1374402.51287143,1463302.93575619,1552141.7407746,1640924.16301846,1729654.70129506,1818337.26134252,1906975.52632668,1995572.59732979,2084130.98000167,2172653.44406403,2261141.84189483,2349598.52814051,2438025.14141882,2526423.14890542,2614794.27131844,2703139.96954564,2791461.05489092,2879759.29378547,2968035.11229584,3056290.06686767,3144524.59612242,3232739.89607524,3320936.69381203,3409115.86399588,3497277.72595186,3585423.01832897,3673552.40639005,3761666.78292548,3849766.22340313,3937851.63272765,4025923.07576532,4113981.03038394,4202026.38805633,4290059.3879372,4378079.83133435,4466088.87602619,4554086.42688042,4642072.97238031,4730049.04679217,4818014.2128227,4905969.66400449,4993914.70396837,5081850.51252758,5169776.9228995,5257694.15172916,5345602.52135932,5433502.28084094,5521393.72647018,5609276.62718337,5697151.25312113,5785018.46568719,5872877.80004799,5960729.63262464,6048573.80530724,6136411.15820089,6224241.36544802,6312064.78719288,6399881.056523,6487691.37431879,6575494.93302046,6663292.03976232,6751082.87559453,6838867.74474591,6926646.31156288,7014418.96394986,7102186.47870528,7189947.96973678,7277704.03579337,7365454.63273103,7453199.32750989,7540939.46156215,7628674.03164563,7716404.11734752,7804128.57249056,7891848.60384266,7979563.75264398,8067273.68900268,8154979.04096967,8242680.36270072,8330376.87109053,8418068.91711519,8505756.49061278,8593439.66887484,8681119.08254039
15.12,21867.3981266831,63443.5826926918,130965.584314935,234027.894091238,337471.151439208,440472.17542069,543027.515028455,645212.69299481,747096.08211897,848730.598142081,950156.780192733,1051405.73621214,1152501.87415124,1253464.51007079,1354309.51462717,1455049.48202832,1555695.41749795,1656256.16431131,1756739.57546724,1857151.97153522,1957499.30990322,2057786.51521206,2158017.8280887,2258197.35857299,2358328.34582006,2458413.918024,2558456.91782199,2658459.74603323,2758424.913435,2858354.16357973,2958249.45120848,3058112.38738397,3157944.88798787,3257748.23239146,3357523.77673458,3457272.66530178,3556995.86881761,3656695.01623965,3756370.68365858,3856023.96391454,3955655.70930388,4055266.80023495,4154857.52371081,4254429.19126102,4353982.47097515,4453517.60541722,4553035.2499095,4652536.32434646,4752021.09485341,4851490.25309417,4950944.10195148,5050382.9779645,5149807.70732939,5249218.57053175,5348615.52934843,5447999.55746051,5547370.84133795,5646729.8150515,5746076.48900605,5845411.37393301,5944734.54734053,6044046.75962889,6143347.61152192,6242638.13206907,6341918.54232675,6441188.39166079,6540448.35336491,6639698.63841398,6738939.67642646,6838170.60954707,6937393.50965972,7036606.49957882,7135811.46786766,7235007.73213693,7334195.61599052,7433375.50860101,7532547.4281767,7631711.24900139,7730867.2399263,7830016.07442162,7929157.59747165,8028291.41471001,8127417.95274833,8226538.12359833,8325651.23686605,8424757.26531369,8523857.24111339,8622950.1774536,8722036.96570019,8821117.46389661,8920191.55293104,9019259.23270751,9118321.30056532,9217377.74978191,9316428.29416494,9415473.07086093,9514512.05953563,9613546.11711854,9712574.22001344,9811596.75755028
16.8,24093.2620896893,70291.1313045445,145645.105977717,261152.494356774,377021.86559999,492344.601034953,607124.656868207,721454.432116758,835416.762707664,949075.847615769,1062480.8176592,1175669.36246907,1288671.27816739,1401510.12240266,1514204.75252916,1626771.19385878,1739222.26787607,1851569.22758597,1963821.12338557,2075986.20980479,2188071.45491632,2300083.08448116,2412026.07973687,2523905.50190294,2635725.39240386,2747489.69896392,2859201.69331925,2970864.52173936,3082480.68951023,3194052.86566886,3305583.36629325,3417074.44675441,3528527.94743953,3639945.72030519,3751329.06821931,3862679.79217984,3973999.40901899,4085288.82538496,4196549.79915858,4307782.91839065,4418989.76090165,4530170.97644686,4641327.79974943,4752460.52695247,4863570.80657726,4974658.81327563,5085725.53908975,5196771.59855595,5307797.53611517,5418804.38531474,5529792.52306081,5640762.4527816,5751714.5828007,5862649.34258979,5973567.80654472,6084469.91718004,6195356.84235502,6306227.7575837,6417083.84323415,6527925.41254244,6638753.40489505,6749566.52153417,6860367.34688429,6971154.0042025,7081928.39456325,7192690.45245558,7303439.70441568,7414177.52490732,7524903.47089453,7635618.08901378,7746321.16574459,7857013.36370457,7967695.01822165,8078366.20850161,8189027.40653623,8299678.2670979,8410319.24883965,8520950.21022826,8631572.40847548,8742184.71199847,8852788.64335027,8963383.27389957,9073968.35809333,9184545.67598103,9295114.41590468,9405674.85371033,9516227.15066742,9626771.00766103,9737307.6086341,9847836.16618573,9958357.21456985,10068869.9594804,10179376.4566798,10289875.4754319,10400366.7111499,10510851.3236294,10621329.3013941,10731799.9888289,10842264.5302597,10952721.9114627
