0,349.5,699,1048.5,1398,1747.5,2097,2446.5,2796,3145.5,3495,3844.5,4194,4543.5,4893,5242.5,5592,5941.5,6291,6640.5,6990,7339.5,7689,8038.5,8388,8737.5,9087,9436.5,9786,10135.5,10485,10834.5,11184,11533.5,11883,12232.5,12582,12931.5,13281,13630.5,13980,14329.5,14679,15028.5,15378,15727.5,16077,16426.5,16776,17125.5,17475,17824.5,18174,18523.5,18873,19222.5,19572,19921.5,20271,20620.5,20970,21319.5,21669,22018.5,22368,22717.5,23067,23416.5,23766,24115.5,24465,24814.5,25164,25513.5,25863,26212.5,26562,26911.5,27261,27610.5,27960,28309.5,28659,29008.5,29358,29707.5,30057,30406.5,30756,31105.5,31455,31804.5,32154,32503.5,32853,33202.5,33552,33901.5,34251,34600.5,34950
1.68,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.77391153423409,1.76023599306453,1.74949963990138,1.74074474612983,1.73333496798122,1.72686321790287,1.72107639813184,1.71582003358524,1.71100061000148,1.70656102065702,1.70246516520812,1.6986885953899,1.69521287340768,1.69202241016679,1.68910264269563,1.68643923431926,1.68401769364305,1.68182327675759,1.67984112422037,1.67805640920149,1.67645445347246,1.67502095064797,1.67374207926793,1.67260459133425,1.67159594089688,1.67070428542383,1.66991855967704,1.66922845517892,1.66862444665537,1.66809774586036,1.66764029667238,1.66724472717784,1.66690433101541,1.66661300666695,1.66636523383498,1.66615602222741,1.665980871618,1.66583573605976,1.66571698281765,1.66562135780175,1.66554595070622,1.66548816349038,1.66544568138725,1.66541644503193,1.66539862563829,1.66539060212109,1.66539093994163,1.66539837186988,1.66541178056544,1.66543018292785,1.66545271562186,1.66547862219151,1.66550724157112,1.66553799697897,1.66557038738515,1.66560397861577,1.66563839535726,1.66567331492148,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
3.36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.84169300568978,1.82238304697148,1.80589794280074,1.79149410675264,1.77868501253889,1.76715684565556,1.75670493661323,1.74719156229191,1.73851886757801,1.73061247938829,1.72341184901302,1.7168645858741,1.71092338281728,1.70554418089204,1.70068531671897,1.69630712462145,1.69237180186509,1.68884332045173,1.6856875513007,1.68287222441281,1.68036704048421,1.67814361268733,1.67617554697411,1.674438331977,1.67290932602173,1.67156769925997,1.67039434147613,1.66937177285488,1.66848403728715,1.66771664381795,1.6670564294326,1.66649147796607,1.66601102443134,1.66560536343116,1.66526575854472,1.66498436130567,1.66475413214787,1.66456877060504,1.66442264053401,1.66431071405119,1.66422850998023,1.66417204141922,1.66413776716117,1.66412254642503,1.66412359871916,1.66413846634898,1.66416498127852,1.66420123440055,1.664245548262,1.66429645126406,1.66435265738586,1.66441304355588,1.66447663252121,1.66454257757598,1.66461014579294,1.66467870692271,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
5.04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.93612884468285,1.90496481585165,1.87815128745202,1.85474247734404,1.83406763474677,1.81565422463476,1.79916338972008,1.78434399556834,1.77100200585785,1.75898111358849,1.7481508318634,1.73839886781739,1.72962628942308,1.72174452438124,1.71467336338462,1.70833962066745,1.70267616068336,1.69762132862321,1.69311841728286,1.68911530585364,1.68556404094275,1.68242071001682,1.67964501763477,1.67720014348695,1.67505245322834,1.6731713120608,1.67152885327049,1.67009974313627,1.6688610476733,1.66779198912097,1.6668738007129,1.66608954675941,1.66542397164294,1.66486334692393,1.66439534995378,1.66400891810749,1.6636941460043,1.66344217253904,1.66324508300551,1.66309581551242,1.66298808032633,1.66291628333751,1.66287545570779,1.66286119124267,1.66286958907487,1.66289720113258,1.66294098578987,1.66299826402406,1.66306668182823,1.66314417484129,1.66322893754326,1.66331939440033,1.66341417460971,1.66351208871493,1.66361211076891,1.66371335560071,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
6.72,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.02216569310555,1.97844584268217,1.94090248477825,1.90836337946074,1.87992881079689,1.8549158537854,1.83280155885174,1.8131779913411,1.79571983253921,1.78016192275464,1.76628361172328,1.75389811660029,1.74284487294326,1.73298414331119,1.72419300955537,1.71636250937666,1.70939536896338,1.70320447745563,1.69771143201392,1.69284551808162,1.6885429637111,1.68474604549544,1.68140260904436,1.67846546680811,1.6758919615166,1.67364357522771,1.67168545155001,1.66998618532161,1.6685174221507,1.66725363026081,1.66617181193523,1.66525129406925,1.66447350040662,1.66382175185344,1.66328109801766,1.66283815541755,1.66248094426794,1.662198763344,1.66198206563724,1.66182233771419,1.66171200319993,1.6616443272168,1.66161333065825,1.66161371508167,1.66164079131668,1.66169041704013,1.6617589395111,1.66184314341253,1.66194020533401,1.66204765082516,1.66216331752997,1.66228532004683,1.66241201922779,1.66254199725389,1.66267402823907,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
8.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.12868980006246,2.06682433668543,2.01460260265139,1.97015211724556,1.93199155825014,1.89897707184199,1.87022775952265,1.84506007396935,1.82293602109341,1.80342547558867,1.78617927688174,1.77090956929798,1.75737544243504,1.74537280334449,1.7347267021462,1.72528573856664,1.71691772451934,1.70950651709339,1.70294948297155,1.69715546189323,1.69204329458474,1.68754046068437,1.68358203750324,1.68010984559838,1.6770716785401,1.67442062929791,1.67211461745611,1.67011576179781,1.66839009895656,1.66690708047231,1.66563929331262,1.66456214818281,1.66365357959804,1.66289382552313,1.66226517304409,1.66175178416853,1.66133949928604,1.66101567235936,1.66076902120625,1.66058949230074,1.6604681367258,1.66039700206677,1.6603690262745,1.66037795079651,1.6604182359158,1.66048498735543,1.66057388722349,1.66068113674448,1.66080339574011,1.66093773967433,1.66108161094906,1.6612327786172,1.66138930471386,1.661549512078,1.66171195145739,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
10.08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.17760437210399,2.10465051462979,2.04409885018171,1.99327885232005,1.95017794793303,1.91328714385143,1.88146713019781,1.85384732671184,1.82975161210056,1.80864683115859,1.79010565571648,1.77377995868563,1.75938229239178,1.74667206675761,1.73544544570155,1.72552802410814,1.71676921222845,1.70903804363784,1.70221981832455,1.69621359464732,1.69093018313176,1.68629047661427,1.68222408344767,1.67866829148085,1.67556709625326,1.67287045508433,1.67053356423636,1.66851630395564,1.66678278688231,1.6653008288579,1.66404160990251,1.66297933279459,1.66209089903816,1.66135563254032,1.6607550548089,1.66027265229773,1.65989367902471,1.65960497757271,1.65939482613577,1.65925278875728,1.65916958318199,1.65913696853027,1.65914763563857,1.65919511220056,1.65927367617957,1.65937827687472,1.65950446603347,1.65964833359755,1.65980644923162,1.65997581223032,1.6601538047909,1.660338149584,1.66052687418839,1.66071827216149,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
11.76,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.32276010960462,2.21895045164049,2.13558889853809,2.06757426479462,2.01125415876056,1.96400894845186,1.92393936250171,1.88964596536181,1.86007900009081,1.83443616541441,1.81209302238426,1.79255458707266,1.77542218220288,1.7603698144548,1.74712700905547,1.7354666901319,1.72519611234812,1.71615015462684,1.70818620003414,1.70118017717953,1.69502354976832,1.6896209172845,1.68488810766416,1.68075052965443,1.67714201543589,1.67400366152716,1.67128300005948,1.66893320111824,1.66691243269289,1.66518329374748,1.66371237445816,1.66246978587624,1.66142878779118,1.66056548777673,1.65985852300506,1.65928881408275,1.65883932316178,1.65849484704265,1.65824183922915,1.6580682309322,1.65796328630842,1.65791746645664,1.65792230531224,1.65797030002888,1.65805481273589,1.65816997888996,1.65831062881114,1.65847221092989,1.65865073268847,1.65884269365744,1.65904503727876,1.65925510239354,1.65947057771291,1.65968946621076,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
13.44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.37027794219219,2.2527309299861,2.16022653673649,2.08586021736071,2.02497121885365,1.9743475178978,1.93172419043299,1.89546683257754,1.86436879110507,1.8375196051974,1.8142179353645,1.79391306502986,1.77616493112179,1.76061619430485,1.74697255850088,1.73498836821293,1.72445640840141,1.71520011088563,1.70706773671753,1.69992786955353,1.69366609771406,1.68818223684794,1.6833881487423,1.67920606771032,1.67556712249038,1.67241020946825,1.66968096979096,1.66733100254283,1.66531716000312,1.66360091537266,1.66214789500263,1.66092735581701,1.6599118576833,1.65907688469635,1.6584005320123,1.65786325424701,1.65744760217403,1.65713801923186,1.65692064562734,1.65678314315407,1.65671454199611,1.65670509679159,1.65674616499605,1.65683009165944,1.65695010782216,1.6571002370958,1.65727521551915,1.65747041475179,1.65768177420869,1.65790574365843,1.65813922332666,1.6583795202775,1.65862429810941,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
15.12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.58139883748586,2.40886530961829,2.27946601551718,2.17930818542508,2.09974098655922,2.03517157525365,1.98185946388672,1.93722361624075,1.89943092523893,1.86714441394832,1.83936479963609,1.81532846722821,1.79443989681408,1.77622590547257,1.76030443352297,1.74636217907095,1.73413901512604,1.72341635265583,1.71400865933719,1.70575708220845,1.69852456579039,1.69219212623974,1.68665584893911,1.68182462895284,1.67761815400391,1.67396553384806,1.67080392549318,1.66807756919879,1.66573684534235,1.66373758419805,1.66204038903501,1.66061013049408,1.65941543720605,1.65842830059832,1.65762371816832,1.65697937660057,1.65647535243489,1.65609388205118,1.655819127464,1.65563698270927,1.65553489726254,1.65550171300947,1.65552752422712,1.65560354732854,1.65572200721414,1.65587603049156,1.65605955403082,1.65626723924745,1.65649439776761,1.65673691842047,1.65699120979958,1.65725414265053,1.65752300137288,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
16.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.62804142443693,2.43897171967958,2.29986382672611,2.19357275049789,2.10989957772067,2.04245536098193,1.98705992780388,1.94087442486348,1.90190622955743,1.86871454335234,1.84023034847775,1.81564103573141,1.79431596773211,1.77575638005119,1.75956073627448,1.74540120573854,1.73300639107686,1.72214889029648,1.7126362969376,1.70430428996474,1.69701150190878,1.69063542456842,1.68506930817276,1.68021972217946,1.6760045046677,1.67235116194562,1.66919559373439,1.66648091418231,1.6641566014779,1.66217768536262,1.66050412013862,1.65910019392582,1.65793404476067,1.65697723975901,1.656204399859,1.65559287880968,1.65512247575788,1.65477516941994,1.65453490517693,1.65438738706233,1.65431989339171,1.65432111954844,1.65438103193366,1.65449073681194,1.65464236337919,1.65482895722673,1.65504438627247,1.65528325509068,1.65554082740223,1.65581295374821,1.65609601498334,1.65638685688893,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
