0,15700,31400,47100,62800,78500,94200,109900,125600,141300,157000,172700,188400,204100,219800,235500,251200,266900,282600,298300,314000,329700,345400,361100,376800,392500,408200,423900,439600,455300,471000,486700,502400,518100,533800,549500,565200,580900,596600,612300,628000,643700,659400,675100,690800,706500,722200,737900,753600,769300,785000,800700,816400,832100,847800,863500,879200,894900,910600,926300,942000,957700,973400,989100,1004800,1020500,1036200,1051900,1067600,1083300,1099000,1114700,1130400,1146100,1161800,1177500,1193200,1208900,1224600,1240300,1256000,1271700,1287400,1303100,1318800,1334500,1350200,1365900,1381600,1397300,1413000,1428700,1444400,1460100,1475800,1491500,1507200,1522900,1538600,1554300,1570000
1.68,4017.53715809625,10814.8538347488,21377.765754743,31985.1120007789,42591.4061434823,53193.9095938695,63793.0437692052,74389.4361322653,84983.6020998932,95575.9275354295,106166.716827283,116756.197272042,127344.531855848,137931.896911521,148518.373313068,159104.071567305,169689.078198347,180273.442796029,190857.236065132,201440.517334154,212023.298446465,222605.63575781,233187.547267961,243769.080319667,254350.245403288,264931.083109349,275511.608145424,286091.8198077,296671.765946218,307251.437692513,317830.843417986,328410.024078012,338988.966986693,349567.71448604,360146.242759833,370724.574143857,381302.679524219,391880.66526993,402458.413338945,413036.033718803,423613.49314998,434190.808383888,444767.939721467,455344.948681131,465921.800968739,476498.546602321,487075.164434724,497651.654456872,508227.985188803,518804.247879376,529380.376270212,539956.365335452,550532.3094477,561108.095094228,571683.806550109,582259.416779328,592834.915507152,603410.366774788,613985.689404009,624560.931722278,635136.084339644,645711.163635593,656286.13518377,666861.042801678,677435.897247273,688010.645086494,698585.301197209,709159.906721768,719734.479061538,730308.955947778,740883.354374062,751457.691068082,762031.987682836,772606.213498668,783180.282996841,793754.382230796,804328.413886248,814902.392380483,825476.32588958,836050.200385938,846624.011116704,857197.697481001,867771.437500369,878345.027023304,888918.642616833,899492.213356764,910065.696024159,920639.149473908,931212.485884552,941785.894151991,952359.16993561,962932.424296967,973505.65308873,984078.766381114,994651.910914737,1005224.98916485,1015798.00879326,1026371.05845522,1036944.02112139,1047516.90819989
3.36,8125.19611813537,21568.5797465039,42748.3151201579,64075.9271548921,85398.5384777825,106706.426304277,128001.223382183,149285.352755372,170560.783102332,191829.052052705,213091.254069332,234348.322990079,255600.944339875,276849.677971727,298094.957816644,319337.150647865,340576.623085787,361813.547342566,383048.225783296,404280.812884145,425511.473336505,446740.373609372,467967.635043863,489193.344562011,510417.644149821,531640.609506539,552862.317488973,574082.815586164,595302.201684193,616520.546482462,637737.877631703,658954.248061772,680169.754116805,701384.327652954,722598.153085064,743811.12835487,765023.376489665,786234.892940804,807445.740337792,828655.906428876,849865.515208977,871074.365343392,892282.68861429,913490.502601593,934697.712591462,955904.338218594,977110.537069376,998316.217757383,1019521.41106468,1040726.15837981,1061930.38263963,1083134.19400586,1104337.61650253,1125540.58152223,1146743.18684105,1167945.38023305,1189147.23994972,1210348.72378101,1231549.77645258,1252750.48653834,1273950.96918349,1295151.00453665,1316350.76370656,1337550.15464768,1358749.33542076,1379948.13080591,1401146.6861565,1422344.8141175,1443542.79361043,1464740.43661547,1485937.91104031,1507135.11923478,1528332.00528574,1549528.6087653,1570724.95707273,1591921.05887308,1613117.1218212,1634312.76957802,1655508.15179625,1676703.36061594,1697898.39239851,1719093.24618219,1740287.70319281,1761482.18512129,1782676.35959249,1803870.34856551,1825063.99008971,1846257.56292222,1867450.9767018,1888644.29718252,1909837.15735605,1931030.05318508,1952222.7195403,1973415.29632846,1994607.52236067,2015799.64429839,2036991.63494816,2058183.41648579,2079375.12198347,2100566.60248985
5.04,12379.306314899,32250.5011247879,64130.2604694984,96289.6592743719,128436.240992305,160550.596404659,192636.336818533,224698.696062933,256741.967493812,288769.392020761,320783.507496487,352786.248108647,384779.14365451,416763.394923232,448740.006341804,480709.847170038,512673.489101163,544631.615245495,576584.696205678,608533.159250596,640477.297032097,672417.521051216,704354.077527503,736287.22690814,768217.19003111,800144.141358473,832068.343024303,863989.841970822,895908.854258414,927825.539835841,959740.012836903,991652.273969384,1023562.58158963,1055470.92332264,1087377.49353527,1119282.28491557,1151185.39627859,1183086.8258308,1214986.81524632,1246885.26308133,1278782.16807843,1310677.88498264,1342572.17330637,1374465.23746365,1406357.02190393,1438247.71720061,1470137.1805126,1502025.53610079,1533912.85512389,1565799.11731749,1597684.38668057,1629568.6104054,1661451.86989898,1693334.25677391,1725215.80157251,1757096.39175626,1788976.1636561,1820855.11760485,1852733.24256711,1884610.64971097,1916487.22782009,1948363.07754676,1980238.21306659,2012112.54700678,2043986.33893785,2075859.31656129,2107731.73466135,2139603.40276891,2171474.60107629,2203345.06590092,2235215.03903007,2267084.34136897,2298953.04743208,2330821.11976681,2362688.8172641,2394555.98046273,2426422.3595787,2458288.46456256,2490153.85828997,2522019.00311458,2553883.50688272,2585747.52991697,2617610.91574326,2649474.22140193,2681336.86111779,2713198.96646751,2745060.69180486,2776921.87767381,2808782.76345703,2840643.46253838,2872503.3292327,2904362.97228122,2936222.1811375,2968081.22595607,2999939.74882802,3031797.86137693,3063655.57593406,3095512.93521666,3127369.85130104,3159226.38802929
6.72,16628.8374956638,42860.7387506305,85541.5104827524,128642.962601934,171719.167731099,214739.502102781,257710.365502176,300640.693577633,343537.822588702,386407.419398545,429253.755477433,472080.212229634,514889.480996511,557683.608406167,600464.394628145,643233.218382913,685991.267941716,728739.577132986,771478.983181707,814210.208207616,856933.947841676,899650.771350183,942361.147920603,985065.454288309,1027764.26989404,1070457.75844432,1113146.29009368,1155830.16265551,1198509.71736685,1241184.9722596,1283856.38052425,1326524.06697693,1369188.16117262,1411848.72902248,1454506.22709092,1497160.63757294,1539811.94564626,1582460.39458342,1625106.22210457,1667749.36600406,1710390.16615382,1753028.33651946,1795664.24546854,1838297.86941729,1880929.28439772,1923558.75963887,1966186.00091598,2008811.4288901,2051434.84747964,2094056.50644335,2136676.36513,2179294.50704492,2221910.99295451,2264525.78067669,2307138.91884454,2349750.59961732,2392360.83205786,2434969.43110764,2477576.79649849,2520182.67578005,2562787.18311341,2605390.49087436,2647992.42961321,2690593.19657498,2733192.67743863,2775790.97242423,2818388.01944882,2860984.0729281,2903578.75974399,2946172.59171173,2988765.35026853,3031356.99443742,3073947.80220454,3116537.48527377,3159125.92106512,3201713.63609998,3244300.67526238,3286886.39631387,3329471.27870258,3372055.43635673,3414638.51474283,3457220.78815101,3499802.43478866,3542383.01263101,3584963.03839132,3627542.03093899,3670120.13313971,3712697.85441499,3755274.60711616,3797850.60157256,3840425.72076704,3883000.51835007,3925574.19678976,3968147.61163727,4010719.9610077,4053291.72534869,4095863.16054465,4138433.4705327,4181003.31488533,4223572.7293618
8.4,20853.1508422243,53405.6075525707,106999.502814772,161152.044436448,215261.739681082,269286.260144751,323235.497830011,377122.876944759,430959.50625347,484753.982833202,538512.764375904,592241.069037456,645942.875591217,699621.453953334,753279.382782823,806918.887951908,860541.789270429,914149.569418828,967743.701545405,1021325.20211046,1074895.15381681,1128454.2578957,1182003.54787981,1235543.43724996,1289074.61794941,1342597.78534918,1396113.20905498,1449621.4086185,1503122.8355621,1556617.78198537,1610106.64810238,1663589.65623187,1717067.1947213,1770539.29407809,1824006.61570003,1877469.00572882,1930926.78239285,1984380.0777439,2037829.3199677,2091274.41001516,2144715.60601984,2198153.07529612,2251586.64655575,2305017.05471156,2358443.95649394,2411867.50200883,2465288.12439139,2518705.44780943,2572120.02142204,2625531.73067201,2678940.43073494,2732346.73755183,2785750.17188529,2839151.24176034,2892549.86145232,2945946.04115322,2999339.82285887,3052731.50595701,3106120.80612024,3159508.0501234,3212892.98481421,3266276.11742845,3319657.18546049,3373036.26196698,3426413.54406365,3479788.92192029,3533162.33448017,3586534.27679153,3639904.26042965,3693272.44987143,3746639.32553484,3800004.24518532,3853367.75901073,3906729.70039261,3960090.05717022,4013449.05791892,4066806.42748041,4120162.76693151,4173517.19369177,4226870.58455206,4280222.33935704,4333572.69074203,4386921.91168831,4440269.86626499,4493616.79623938,4546962.05375799,4600306.39350038,4653649.39723952,4706991.30914156,4760332.08359858,4813671.98271673,4867010.24241278,4920347.77326059,4973684.29581217,5027019.5830305,5080353.42415964,5133687.00276234,5187019.21442968,5240350.35435201,5293680.30040161
10.08,25039.0964866514,63895.3829829811,128521.348082486,193832.856823412,259078.390302681,324204.111803711,389224.074822277,454157.064355765,519018.487545857,583820.362532864,648571.847455431,713280.028710346,777950.73415939,842588.384317113,907196.750729402,971778.932161655,1036337.50749682,1100874.61619603,1165392.23125426,1229891.77638527,1294374.96498656,1358842.78099303,1423296.28875262,1487736.62962459,1552164.52993822,1616580.91076503,1680986.35621606,1745381.36746772,1809766.83916231,1874142.98964807,1938510.39296727,2002869.56631707,2067220.67003147,2131564.34556607,2195900.86446438,2260230.55709339,2324553.72555928,2388870.46784838,2453180.90860217,2517485.94313165,2581785.25606364,2646078.95267651,2710367.81988042,2774651.44078997,2838930.25014136,2903204.6455694,2967474.13010888,3031739.47546604,3096000.665261,3160257.64227695,3224510.851911,3288760.03086168,3353005.27631436,3417247.10341815,3481485.41853141,3545720.39909377,3609951.7915063,3674180.24638049,3738405.35169019,3802627.19137518,3866846.39865577,3931062.53264553,3995275.76539475,4059486.03571698,4123693.95520664,4187898.99852628,4252101.256492,4316301.61254545,4380498.8860231,4444693.84789416,4508886.62459332,4573077.04283155,4637265.12697544,4701450.69397119,4765634.48666221,4829816.04128299,4893995.0535544,4958172.46439844,5022348.03843938,5086521.39107525,5150692.87025568,5214862.11500389,5279030.04414534,5343195.58671325,5407359.59816921,5471521.81461159,5535682.43737692,5599841.09986348,5663998.2574491,5728153.65604836,5792307.68929405,5856459.80494705,5920610.72658878,5984760.00697291,6048907.63837047,6113053.73996889,6177198.16441637,6241341.47833577,6305483.43702559,6369623.66395038
11.76,29174.9748806336,74343.10463793,150123.916481422,226701.100296725,303183.536184524,379506.419165734,455688.828538856,531755.479483873,607726.729033476,683618.375409499,759442.551644671,835208.914599325,910924.819755249,986596.497497031,1062228.7976562,1137825.93882566,1213391.26914148,1288927.89231717,1364438.11913861,1439924.0913616,1515387.95279445,1590831.0405566,1666255.07138633,1741661.1837213,1817050.58387844,1892424.46387424,1967783.46390556,2043128.52081858,2118460.51288527,2193780.04023039,2269087.78514284,2344384.335971,2419670.22259671,2494945.93134318,2570211.94857166,2645468.67944093,2720716.22389455,2795955.57606264,2871186.81598852,2946409.94697419,3021625.43310548,3096833.79979606,3172035.45646307,3247229.88905331,3322418.05017891,3397599.79062135,3472775.53191821,3547945.16266601,3623109.21090684,3698267.63864737,3773420.87128996,3848568.62302321,3923711.71008887,3998849.42025731,4073982.67797611,4149111.26383083,4224235.14719664,4299354.88108914,4374470.16165671,4449581.46224711,4524688.42409079,4599791.47973468,4674890.69990069,4749986.31721239,4825078.08533552,4900166.29915482,4975250.7911905,5050332.14917534,5125409.92497804,5200484.44544144,5275556.18409657,5350624.56203768,5425689.36586931,5500751.65464875,5575810.67641863,5650867.32900259,5725920.63837436,5800970.94979398,5876018.86139862,5951064.50744277,6026107.02226245,6101146.79900802,6176184.28604396,6251219.58633929,6326251.93472534,6401282.16654913,6476310.01704966,6551335.71863135,6626358.79687057,6701379.80123608,6776399.01959449,6851415.31352165,6926430.3042139,7001442.54537747,7076453.14113038,7151461.24333588,7226467.77234845,7301472.05766004,7376474.83202807,7451475.33432463
13.44,33257.4315868445,84763.8899885297,171823.978729468,259772.468999582,347591.632056406,435206.823828117,522642.684625075,609930.598137889,697096.372906001,784160.034057842,871137.089246664,958039.754074108,1044877.55733158,1131658.29682159,1218388.31540727,1305072.98884413,1391716.55913672,1478322.96652018,1564895.52628985,1651436.70333673,1737949.12700284,1824434.81224039,1910895.74716329,1997333.65079695,2083749.7140725,2170145.62592412,2256522.55081034,2342881.26714728,2429223.11415682,2515548.77167053,2601859.18285569,2688155.10478535,2774437.0055987,2860705.84111665,2946962.16799192,3033206.55319625,3119439.08441633,3205660.54740848,3291871.60064639,3378072.53189826,3464263.59406313,3550445.17299014,3636617.47559178,3722781.01758434,3808936.4288775,3895083.32658593,3981222.51753827,4067353.87585408,4153477.89452118,4239594.61573635,4325704.38811823,4411807.32633025,4497903.81760736,4583993.97746201,4670077.92916877,4756155.69905371,4842227.72361943,4928294.19094907,5014354.91554112,5100410.33410198,5186460.3849289,5272505.21730693,5358544.92201969,5444580.17705062,5530610.41057341,5616635.89150512,5702656.76273981,5788673.21683854,5874685.17185539,5960692.86709112,6046696.84716078,6132696.23759796,6218691.74812096,6304683.77115567,6390671.23427481,6476655.03034819,6562635.61072365,6648612.59080226,6734585.25772706,6820555.57329594,6906521.64643608,6992484.71271066,7078444.30444691,7164400.22161532,7250354.06483529,7336303.88491874,7422250.97400642,7508194.96884784,7594135.84876327,7680074.10875638,7766009.86831683,7851942.09053423,7937871.79401931,8023799.12711457,8109723.48373782,8195645.10832992,8281564.43426346,8367481.26975786,8453395.03566908,8539306.79785097
15.12,37284.876071075,95174.3822213122,193638.293048903,293062.55398611,392317.269119002,491318.997449189,590098.912863103,688695.368774917,787140.122956876,885457.977447555,983668.060607297,1081785.2975652,1179821.66637735,1277786.79837497,1375688.57644258,1473533.57475741,1571327.33043128,1669074.43261936,1766779.02512291,1864444.42828588,1962073.79632999,2059669.70333223,2157234.71601502,2254770.62262065,2352279.27522159,2449762.58464421,2547221.81586981,2644658.62180993,2742074.03120355,2839469.13355517,2936845.20564133,3034202.84652462,3131543.1138741,3228866.94923722,3326174.82360777,3423467.77258675,3520745.99975259,3618010.39586281,3715261.46504292,3812499.90974543,3909725.58688538,4006939.53281879,4104142.12804148,4201333.86572747,4298514.81816131,4395685.21511063,4492845.84626813,4589996.98787657,4687138.75891514,4784271.32122221,4881395.23180407,4978510.33465101,5075617.40546514,5172716.35045667,5269807.73241456,5366891.45947276,5463967.49560354,5561036.58171497,5658099.00045929,5755154.26270229,5852202.88761372,5949244.96940415,6046280.8673947,6143310.20334205,6240333.98172308,6337351.66967703,6434363.59910224,6531370.19881363,6628370.8994629,6725366.43723169,6822356.76876513,6919341.515727,7016321.81461108,7113296.94553753,7210266.93223325,7307232.67158408,7404193.08869608,7501149.58226758,7598101.70802525,7695048.56479618,7791991.86171198,7888930.79015536,7985865.44938262,8082796.22128848,8179722.94392304,8276645.89048951,8373564.89492339,8470479.84992348,8567391.43543364,8664299.16428351,8761203.3201901,8858104.18712072,8955001.51926661,9051895.45590504,9148785.89723587,9245672.44610288,9342556.41088658,9439437.24083264,9536314.47327422,9633188.95331039
16.8,41257.1491570187,105592.469885983,215583.57489107,326587.033487542,437375.091647263,547857.113268827,658071.000848526,768063.018793711,877871.218287845,987525.395907193,1097048.47044269,1206458.81259815,1315770.57905101,1424995.5757885,1534143.31307713,1643221.81050663,1752237.70750888,1861196.65101341,1970103.77685548,2078962.8988374,2187777.98108144,2296552.20449385,2405288.61087968,2513989.31902084,2622656.90502017,2731293.37078752,2839900.48701113,2948479.87520559,3057033.14157768,3165561.5483829,3274066.59444058,3382549.19570482,3491010.5836876,3599451.43717541,3707873.28488635,3816276.46132744,3924661.63677602,4033029.66531564,4141381.8065545,4249718.02130128,4358039.17872747,4466345.31437942,4574637.9514402,4682916.85682219,4791182.77216904,4899435.81324436,5007677.00534574,5115905.89611019,5224123.60746599,5332330.50878308,5440526.26610225,5548711.48502902,5656886.8180686,5765052.39375726,5873207.99366733,5981354.59021144,6089492.1931246,6197620.64158887,6305740.88623005,6413852.45063531,6521955.99823139,6630051.52056023,6738139.49663879,6846219.77081615,6954292.41419129,7062358.09180941,7170416.6224466,7278468.24051811,7386513.36813513,7494551.56211843,7602582.99675614,7710608.52161897,7818627.39698488,7926641.15117385,8034648.01527424,8142649.68362452,8250645.84784273,8358635.98160202,8466619.90870836,8574599.17759132,8682573.90792574,8790541.8992035,8898505.98224501,9006464.52860838,9114418.47989498,9222367.19673932,9330311.60223721,9438251.34738332,9546186.20222159,9654116.74865093,9762043.23155278,9869964.94864063,9977882.39833224,10085796.0153089,10193705.1108423,10301610.1738174,10409511.2100504,10517407.8898091,10625301.7141035,10733190.9518526
