0,349.5,699,1048.5,1398,1747.5,2097,2446.5,2796,3145.5,3495,3844.5,4194,4543.5,4893,5242.5,5592,5941.5,6291,6640.5,6990,7339.5,7689,8038.5,8388,8737.5,9087,9436.5,9786,10135.5,10485,10834.5,11184,11533.5,11883,12232.5,12582,12931.5,13281,13630.5,13980,14329.5,14679,15028.5,15378,15727.5,16077,16426.5,16776,17125.5,17475,17824.5,18174,18523.5,18873,19222.5,19572,19921.5,20271,20620.5,20970,21319.5,21669,22018.5,22368,22717.5,23067,23416.5,23766,24115.5,24465,24814.5,25164,25513.5,25863,26212.5,26562,26911.5,27261,27610.5,27960,28309.5,28659,29008.5,29358,29707.5,30057,30406.5,30756,31105.5,31455,31804.5,32154,32503.5,32853,33202.5,33552,33901.5,34251,34600.5,34950
0.31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.71931127019343e-07,8.5296267116064e-07,9.47084688055303e-07,1.05480869378121e-06,1.16752529749811e-06,1.28829685830274e-06,1.41733178209766e-06,1.55489348213409e-06,1.70129976754588e-06,1.85692435240903e-06,2.02219660767627e-06,2.19760049123726e-06,2.3836771301488e-06,2.581029008391e-06,2.79032192925833e-06,3.01229224288475e-06,3.24775582487594e-06,3.49761319070583e-06,3.76286441479317e-06,4.04461618142281e-06,4.34409857661607e-06,4.66268004817373e-06,5.00188220126328e-06,5.36340385487271e-06,5.74913727218937e-06,6.16119747812399e-06,6.60195263732973e-06,7.07405253955616e-06,7.58046691097645e-06,8.12452601569048e-06,8.70997894151326e-06,9.34103434118996e-06,9.96859750522919e-06,1.05728649082607e-05,1.13766003801258e-05,1.22447568210934e-05,1.31832411587407e-05,1.4198265573117e-05,1.52963870907962e-05,1.64845180037156e-05,1.77699878582021e-05,1.91605246186374e-05,1.77023556638263e-05,1.9351669166181e-05,2.11409060065837e-05,2.30819403150318e-05,2.5187630014542e-05,2.74718737061015e-05,2.99497169440287e-05,3.26374710467536e-05,3.55527745187646e-05,3.87147697812645e-05,4.21441640180891e-05,4.58634597342371e-05,4.98969645347421e-05,5.42710937209044e-05,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
0.62,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.64254912408069e-07,7.35736819024169e-07,8.17051670765068e-07,9.09600547691263e-07,1.01932647568305e-06,1.12967929073225e-06,1.2479417577249e-06,1.374400801158e-06,1.50937863861997e-06,1.65323291135598e-06,1.80636032858161e-06,1.96919809271871e-06,2.14222706175717e-06,2.32597560536635e-06,2.52102311063315e-06,2.72801095042898e-06,2.94764219455197e-06,3.18069811044214e-06,3.42804113284477e-06,3.69063073398098e-06,3.96953021432684e-06,4.26592648157699e-06,4.58114205531162e-06,4.91665428355222e-06,5.27411625911944e-06,5.65537392505175e-06,6.06249883765679e-06,6.4978138216521e-06,6.96392418587655e-06,7.46375999532382e-06,8.00061366707506e-06,8.57819499876637e-06,9.20068587686094e-06,9.85230081076759e-06,1.04122195095391e-05,1.12057155858357e-05,1.2063109203237e-05,1.29904385396608e-05,1.39940712004968e-05,1.50807696981561e-05,1.62577138139841e-05,1.7532562812536e-05,1.89134768479863e-05,1.88995018867597e-05,2.05306139848525e-05,2.23001388928377e-05,2.42198241511316e-05,2.63023740211926e-05,2.8561555679981e-05,3.10122576865609e-05,3.36706084145451e-05,3.65540746612068e-05,3.96815823913748e-05,4.30736382892258e-05,4.6752465532341e-05,5.07421471854863e-05,5.50687936232141e-05,5.97606712792607e-05,-1,-1,-1,-1,-1,-1,-1,-1,-1
0.93,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.66314611205598e-07,6.26622068011784e-07,6.95362018632295e-07,7.73343856508291e-07,8.61469516166835e-07,9.68577541396963e-07,1.07566860957275e-06,1.19017800739355e-06,1.31272820238731e-06,1.44365505772395e-06,1.58332250402908e-06,1.73212489137803e-06,1.89049017026463e-06,2.05888466415773e-06,2.23781562586323e-06,2.42783907628035e-06,2.62956259316144e-06,2.84365819292595e-06,3.07086456137514e-06,3.31200083722472e-06,3.56797487193066e-06,3.83979642249591e-06,4.1285916369153e-06,4.43561663775815e-06,4.76226991505829e-06,5.11012531766845e-06,5.48093726989818e-06,5.87667592934923e-06,6.29954954640629e-06,6.75204355331804e-06,7.23694642523993e-06,7.75740053531985e-06,8.31693631426453e-06,8.91954934738808e-06,9.56973943595432e-06,1.0123128447073e-05,1.08497520177987e-05,1.16792963195828e-05,1.25763415304903e-05,1.35471820895104e-05,1.45984889649001e-05,1.57373552989519e-05,1.69713652969357e-05,1.83085978644642e-05,1.97577408532078e-05,2.03195235247616e-05,2.2030190777724e-05,2.38860359354714e-05,2.58993613160091e-05,2.80834759473879e-05,3.04528006489111e-05,3.30229244369711e-05,3.58107617977064e-05,3.88346053563457e-05,4.21142888370036e-05,4.56713254454923e-05,4.95290132303653e-05,5.37125605238499e-05,5.82493869776225e-05,-1,-1,-1,-1,-1,-1,-1
1.24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.21160472999327e-07,5.76774255023338e-07,6.40151881725615e-07,7.12043515704863e-07,7.93284471001243e-07,8.84821645286138e-07,9.95307212266019e-07,1.1040899696352e-06,1.22065683564827e-06,1.3453450852161e-06,1.47851242280207e-06,1.62054037191754e-06,1.77184003960065e-06,1.93285287132732e-06,2.1040577522186e-06,2.28597507315627e-06,2.4791732442808e-06,2.68427592909556e-06,2.90196736649473e-06,3.13300644242292e-06,3.37822985947312e-06,3.63857261359061e-06,3.91506999006272e-06,4.20887679851172e-06,4.52128735809641e-06,4.85374429847709e-06,5.2078659444946e-06,5.58546195181546e-06,5.98856929534891e-06,6.41946689272273e-06,6.88072538859157e-06,7.37522747660206e-06,7.90622597440957e-06,8.47738475790914e-06,9.09284243388076e-06,9.75726628414534e-06,1.02873063367032e-05,1.10720712835421e-05,1.19201075907246e-05,1.28374853624467e-05,1.38306323730576e-05,1.49063832761389e-05,1.60720110799287e-05,1.73353049162092e-05,1.87046099935888e-05,1.94264150920728e-05,2.10406267063038e-05,2.27918326922427e-05,2.46916528852917e-05,2.67526775147084e-05,2.89885243740295e-05,3.14139354924455e-05,3.40448766421346e-05,3.68986541348986e-05,3.99939904038849e-05,4.33511846778528e-05,4.69922560479331e-05,5.09410037939398e-05,5.52232921889621e-05,5.98671686184623e-05,-1,-1,-1,-1,-1
1.55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.99974646572809e-07,5.53801839942025e-07,6.1506386828114e-07,6.84483723034646e-07,7.62870456583187e-07,8.51142033297947e-07,9.58024904904176e-07,1.06540206768828e-06,1.1792543949167e-06,1.30110330373455e-06,1.4313089273452e-06,1.57025178240157e-06,1.71833686959594e-06,1.87599804445841e-06,2.04370290057502e-06,2.22195879698426e-06,2.41131435719787e-06,2.61237350986581e-06,2.82579970953217e-06,3.05232158584143e-06,3.29274900285137e-06,3.54797890461665e-06,3.81900923474213e-06,4.10695388609928e-06,4.41305358048302e-06,4.73869869938611e-06,5.08544513933779e-06,5.45503720997749e-06,5.84942919954244e-06,6.27081887324623e-06,6.72167611048601e-06,7.20477429463056e-06,7.72324580401577e-06,8.28061175150781e-06,8.88085048030035e-06,9.52845755807572e-06,1.00889449274899e-05,1.08024025827013e-05,1.16288571104073e-05,1.25226601774645e-05,1.3490139228413e-05,1.45380047503926e-05,1.56734189249517e-05,1.69040230878592e-05,1.82380247140747e-05,1.96842166302396e-05,2.06437058521113e-05,2.23487485285378e-05,2.41985093629253e-05,2.62052320852587e-05,2.8382210107606e-05,3.07437819146471e-05,3.3305527629009e-05,3.60842657658107e-05,3.90982751874551e-05,4.23672978268446e-05,4.59127953980469e-05,4.97579493823613e-05,5.39279798795189e-05,5.84501410379873e-05,-1,-1,-1,-1
1.86,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.92589776968089e-07,5.46262583611679e-07,6.072359042264e-07,6.76225852203061e-07,7.54039263028972e-07,8.41592679989844e-07,9.46581768616969e-07,1.05466659144472e-06,1.16777501512332e-06,1.28884114163031e-06,1.41823064264646e-06,1.55632654330129e-06,1.703535445424e-06,1.86028990074081e-06,2.0270560102797e-06,2.20433601703264e-06,2.39267664597364e-06,2.59267446806975e-06,2.80498681766236e-06,3.03033520225382e-06,3.26951864751308e-06,3.52342647206215e-06,3.79304543596775e-06,4.07947573991285e-06,4.38394601101712e-06,4.70783254470924e-06,5.05267346824397e-06,5.42019421660419e-06,5.81233174200025e-06,6.23125781812165e-06,6.67942033995128e-06,7.15956593568468e-06,7.67479109146366e-06,8.22858498134559e-06,8.8248896148519e-06,9.46815515068917e-06,1.00430074838122e-05,1.07315200518496e-05,1.15524267938661e-05,1.24401873259828e-05,1.34011002794453e-05,1.4441866902748e-05,1.556962892916e-05,1.67920042948997e-05,1.81171734295053e-05,1.95539203711581e-05,2.06037870096913e-05,2.22971164566728e-05,2.41341527795573e-05,2.61270868274243e-05,2.82891015381916e-05,3.06344641046801e-05,3.31786251998595e-05,3.59383170000447e-05,3.89316677729674e-05,4.21783169615366e-05,4.56995276918235e-05,4.95184234614527e-05,5.3659906763079e-05,5.81511693596798e-05,-1,-1,-1
2.17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.94519156291062e-07,5.49104299807368e-07,6.10984784543689e-07,6.80885932524689e-07,7.5962890377923e-07,8.48148090426548e-07,9.5529796492149e-07,1.06272445715847e-06,1.17642082404882e-06,1.29809856182741e-06,1.42812932761356e-06,1.56690141539814e-06,1.71482502711615e-06,1.87233750894852e-06,2.03990748140343e-06,2.21804191704663e-06,2.40729009134246e-06,2.60825278806096e-06,2.82159088812175e-06,3.04803242290737e-06,3.28838085169028e-06,3.54353235945999e-06,3.81448058817074e-06,4.10233479355651e-06,4.40833544161338e-06,4.73386711462907e-06,5.08048431522132e-06,5.44992700525807e-06,5.84415046902356e-06,6.26534690179004e-06,6.71598629674202e-06,7.19884410516632e-06,7.71704866576858e-06,8.27412342553581e-06,8.87405333677039e-06,9.52133291713583e-06,1.00822197808855e-05,1.07945860390525e-05,1.16207263706948e-05,1.25142435574018e-05,1.34814802483451e-05,1.45291821385473e-05,1.5664540979319e-05,1.6895243009727e-05,1.82295326078771e-05,1.96762716570051e-05,2.08095230462476e-05,2.25143474278843e-05,2.43638551070116e-05,2.63703193867245e-05,2.85470081093228e-05,3.09082844941395e-05,3.34696880943016e-05,3.62480891802591e-05,3.9261709091786e-05,4.2530333779237e-05,4.60753907983849e-05,4.99201107973343e-05,5.40896242608652e-05,5.86112331893477e-05,-1,-1
2.48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.5396367909234e-07,5.03519572703226e-07,5.59799730126542e-07,6.23467485638685e-07,6.9527044388451e-07,7.76057447637868e-07,8.66794323428621e-07,9.77121656635942e-07,1.08469764170541e-06,1.19996116454466e-06,1.3232770596962e-06,1.45502433431855e-06,1.59559677486374e-06,1.74541222403595e-06,1.9049150235234e-06,2.0745800164643e-06,2.25492392793434e-06,2.44650494394361e-06,2.64993544332085e-06,2.86588731009872e-06,3.09510436712111e-06,3.33840673633725e-06,3.59670696851107e-06,3.87102110266395e-06,4.16248525810847e-06,4.47236395109139e-06,4.80207817209031e-06,5.15321298713409e-06,5.52755282039488e-06,5.92709893909045e-06,6.35409591261424e-06,6.81107358606004e-06,7.30087795662555e-06,7.82671344304488e-06,8.39219703811366e-06,9.00141096198731e-06,9.65896944896692e-06,1.01850844989291e-05,1.09573386935769e-05,1.17967812438738e-05,1.27048884887943e-05,1.36880922563658e-05,1.475322812423e-05,1.59075957533251e-05,1.71590146547774e-05,1.85158602190944e-05,1.96038876923913e-05,2.1201913513969e-05,2.29355559137595e-05,2.48163279317794e-05,2.68567026185511e-05,2.90701770708034e-05,3.14713303576569e-05,3.40759689390314e-05,3.69012466111781e-05,3.99656991762465e-05,4.3289396940063e-05,4.68941709508277e-05,5.08036341607277e-05,5.50433238879865e-05,5.96409876841296e-05,-1
2.79,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.66659031417294e-07,5.18393392212602e-07,5.7700020761331e-07,6.43168618807977e-07,7.17679199624399e-07,8.01419389517832e-07,8.95884438731178e-07,1.00796384528368e-06,1.11777326297323e-06,1.23537326154237e-06,1.36113539678675e-06,1.49544488951095e-06,1.63870413966475e-06,1.79133897586248e-06,1.95380330505834e-06,2.12658489180954e-06,2.3102096578785e-06,2.50525272157275e-06,2.71234284463265e-06,2.93217167955099e-06,3.16550298529642e-06,3.41318462839019e-06,3.67615648989624e-06,3.95546991796168e-06,4.25229455256239e-06,4.56794075720913e-06,4.90387363992439e-06,5.26173911218223e-06,5.64337909146317e-06,6.05086483533892e-06,6.48652644297541e-06,6.95297873157599e-06,7.45317418959165e-06,7.990431988854e-06,8.56850781098052e-06,9.1916324766813e-06,9.8360151715961e-06,1.04054006506684e-05,1.12003243269246e-05,1.20596325876514e-05,1.29895046420518e-05,1.39964926813609e-05,1.50875734499232e-05,1.62702075666013e-05,1.75523804146288e-05,1.89426803480486e-05,2.01100792940393e-05,2.17475610258354e-05,2.35240237240769e-05,2.54512491556306e-05,2.75420062369732e-05,2.98101048092571e-05,3.22704996955182e-05,3.49393678667157e-05,3.78342777812991e-05,4.09742030552534e-05,4.43797323131502e-05,4.80732155058933e-05,5.20787962627287e-05,5.64227166511554e-05,6.11333263122113e-05
3.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.36135252357417e-07,4.84093050090451e-07,5.38494134616485e-07,5.99979841808818e-07,6.6927458419741e-07,7.47201852391299e-07,8.34697118534677e-07,9.39049392711215e-07,1.04759962112437e-06,1.16024832229724e-06,1.28082189098538e-06,1.40969859051837e-06,1.54727172708998e-06,1.69395249934642e-06,1.85017707835136e-06,2.01641181662852e-06,2.1931579712966e-06,2.3809591855949e-06,2.58040912727501e-06,2.79215896402018e-06,3.01692476434704e-06,3.25550110460675e-06,3.50876672365979e-06,3.77770140164235e-06,4.0633978266375e-06,4.3670772647423e-06,4.69010370822493e-06,5.0340065026997e-06,5.40050250382581e-06,5.79151460605695e-06,6.20920776599745e-06,6.65601241198159e-06,7.13466604914022e-06,7.64825209240022e-06,8.20024552981783e-06,8.79457570962689e-06,9.43567090369432e-06,1.00171103715987e-05,1.06938407366274e-05,1.15120646423623e-05,1.23969453423414e-05,1.33548043119071e-05,1.43923530007784e-05,1.55167355523487e-05,1.67356259960072e-05,1.80572270000642e-05,1.94903601364008e-05,2.07389643251555e-05,2.24270233547537e-05,2.42583544707004e-05,2.62451057325243e-05,2.8400420398588e-05,3.07385118638852e-05,3.32747948467172e-05,3.60259518650647e-05,3.90100753244218e-05,4.22466762931078e-05,4.57570398645979e-05,4.95641660775656e-05,5.36929326019106e-05,5.81703403146492e-05
