0,349.5,699,1048.5,1398,1747.5,2097,2446.5,2796,3145.5,3495,3844.5,4194,4543.5,4893,5242.5,5592,5941.5,6291,6640.5,6990,7339.5,7689,8038.5,8388,8737.5,9087,9436.5,9786,10135.5,10485,10834.5,11184,11533.5,11883,12232.5,12582,12931.5,13281,13630.5,13980,14329.5,14679,15028.5,15378,15727.5,16077,16426.5,16776,17125.5,17475,17824.5,18174,18523.5,18873,19222.5,19572,19921.5,20271,20620.5,20970,21319.5,21669,22018.5,22368,22717.5,23067,23416.5,23766,24115.5,24465,24814.5,25164,25513.5,25863,26212.5,26562,26911.5,27261,27610.5,27960,28309.5,28659,29008.5,29358,29707.5,30057,30406.5,30756,31105.5,31455,31804.5,32154,32503.5,32853,33202.5,33552,33901.5,34251,34600.5,34950
0.31,0.0162457241292571,0.0354216364723276,0.0559311309204034,0.0774357128600051,0.0997742751647177,0.122852075497291,0.146605659529267,0.170987510343601,0.195957489445038,0.221476814434083,0.247502117148247,0.27397736736151,0.300818868002112,0.327876206973982,0.354758428984163,0.384371085948519,0.419454221600778,0.456349283141089,0.49458958830752,0.533976154015965,0.574396352390536,0.615777307408664,0.65806842812581,0.701255922314186,0.745271607963294,0.790098598103565,0.835731619794275,0.882163391544977,0.929386052785234,0.977392084463515,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
0.62,0.017036092835531,0.0370280088377677,0.0583699221698947,0.0807045392123646,0.103858413049881,0.127729425336213,0.152251291213386,0.177378480769691,0.203078748904041,0.229328881525025,0.256112156780386,0.283416832394245,0.311234950692461,0.339561841327672,0.368395413497425,0.397735996088002,0.427586064051933,0.457950038652646,0.488834404712031,0.520247456594254,0.552199355361985,0.584702009395622,0.617768161577624,0.651409797466616,0.685630400981257,0.720385396884861,0.756346936403995,0.794486924153567,0.833456616872338,0.873087374214489,0.913306266915742,0.954069807198669,0.995348701827991,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,-1,-1,-1,-1,-1,-1,-1,-1,-1
0.93,0.0170572649187145,0.036968288715573,0.0581756550314264,0.0803256068530033,0.103243705257763,0.126825380772078,0.15100123517408,0.175722265078522,0.200952477002143,0.226664688146253,0.252838128815541,0.279456646022303,0.306507863414789,0.33398218199982,0.361872467688304,0.39017364692299,0.418882227957809,0.447996413934608,0.477515724461255,0.507440931898747,0.537774194985386,0.568518817151327,0.599679381646663,0.631261768621159,0.663273094572555,0.695722166837686,0.728619431044047,0.761977039142707,0.795809602540222,0.830134186463647,0.864971097007057,0.900344920938874,0.936285500862574,0.972830262738929,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,-1,-1,-1,-1,-1,-1,-1
1.24,0.0169437899983148,0.0366426806126122,0.0575873658760208,0.0794314913841536,0.102002981640942,0.125197754605276,0.148945982578795,0.173197720337625,0.197915704282341,0.223071207801797,0.248641633592945,0.274608947939406,0.300958597415542,0.32767872735717,0.354759742813031,0.38219378609212,0.409974631650239,0.43809724003142,0.466557741743307,0.495353277662884,0.524481845984405,0.553942329963581,0.58373434239744,0.613858161325535,0.644314944635,0.675106160080399,0.706234343219572,0.737702625088084,0.769514563488561,0.801674698215718,0.834188338950261,0.867061600636073,0.900301337176018,0.933915728321617,0.96791376264324,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,-1,-1,-1,-1,-1
1.55,0.0168034475840922,0.036277470024716,0.0569547319004309,0.0784965123681774,0.100733841853665,0.123564013547476,0.146917744179365,0.170745121933133,0.195008574823957,0.21967891257067,0.244732856296381,0.270151597054772,0.29591959781514,0.322024051802194,0.348454212228496,0.375201042677333,0.402256933767687,0.429615490480838,0.457271370330302,0.485220024169733,0.513457767483962,0.541981644661523,0.570789169920431,0.599878538299765,0.629248429979323,0.658898080904905,0.688827009342646,0.719035357963621,0.749523565735055,0.780292442399718,0.811343332525731,0.84267796896265,0.874298249597795,0.906206744111036,0.938406468039084,0.970900614813428,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,-1,-1,-1,-1
1.86,0.0166632305617744,0.035925262511354,0.056354832261192,0.077620332070644,0.0995559007857876,0.122060437621402,0.145065496294857,0.168521591877464,0.192391299143543,0.216645355976957,0.241260304123592,0.266216988022808,0.291499578732847,0.317094711250962,0.342991114886888,0.369179210346916,0.395650742584598,0.422398584907956,0.449416658092864,0.476699652724459,0.504242983938325,0.53204275528597,0.560095627031507,0.588398661019168,0.616949516052732,0.645746139493311,0.674786907262282,0.704070614897682,0.733596331315605,0.763363296066296,0.793371241100382,0.823620061405891,0.854109918399624,0.88484137420914,0.915815026927501,0.947031929318435,0.978493276764034,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,-1,-1,-1
2.17,0.0165306873399301,0.0355986512246949,0.0558038334825218,0.0768210417573444,0.0984873405480417,0.120703241411867,0.143401250251839,0.166532421559872,0.190059655883373,0.213953797795754,0.238191470341292,0.262753395781116,0.287623640543472,0.312788605501335,0.3382368153469,0.363958340829175,0.389944638953045,0.4161882246518,0.442682591457859,0.469422038557983,0.496401487754539,0.523616557500336,0.551063344590113,0.578738464250964,0.606638876664632,0.634761963283179,0.66310548011714,0.691667502155791,0.720446241148248,0.74944043114124,0.778648703073793,0.808070321275488,0.837704468664029,0.86755062312986,0.89760853678614,0.927877983154949,0.958359076155576,0.989052057395977,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,-1,-1
2.48,0.0164075880544148,0.0352990465891994,0.0553015912074497,0.0760957793601038,0.0975214114880988,0.119480517400339,0.141906525634354,0.164751116495942,0.187977555668616,0.211556918819903,0.235465944158836,0.259685457695219,0.284199393082479,0.308994200886866,0.334058307154949,0.359381551499877,0.384955292853197,0.41077184533254,0.436824450967127,0.463107179237487,0.489614724200955,0.516342362157346,0.543285950028301,0.570441779259153,0.597806418587154,0.625376913571886,0.65315069299945,0.681125286858574,0.709298750877563,0.737669046505699,0.766234682503696,0.794994151409008,0.823946248081107,0.853089988801383,0.882424412325367,0.911948912019338,0.941662757390315,0.971565633261739,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,-1
2.79,0.0162938142459969,0.0350245729736099,0.0548435886539919,0.0754366157373457,0.0966459247578659,0.118374988693605,0.140558131088424,0.163147628638346,0.186107130121631,0.209408020756706,0.233027198747194,0.256945585978071,0.281147209739919,0.305618476057501,0.330347790490676,0.355325026852378,0.380541348258458,0.405989001493591,0.431661168203632,0.457551704799009,0.483655214199292,0.509966785482082,0.536482067161235,0.563197136036812,0.590108473593305,0.617212826889686,0.644507365089124,0.67198946914537,0.699656727023839,0.727507152770474,0.755538697929307,0.783749680610555,0.812138623642648,0.840704118467097,0.869444942843503,0.898360043673139,0.927448465493968,0.956709400852339,0.986142215435382,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
3.1,0.01618864689816,0.034772564685435,0.054424554007494,0.0748350714834936,0.0958486732328058,0.117370130643734,0.139334656941267,0.161695064487925,0.184415458686537,0.207467463748051,0.230828186451937,0.254478708187423,0.278403102105291,0.302587886116323,0.32702142545351,0.35169362230006,0.376595616069302,0.401719645982828,0.427058701427507,0.452606717265689,0.47835807868552,0.504307876752716,0.530451624743223,0.556785267857715,0.583305107625005,0.610007890056194,0.636890449892159,0.663950192699876,0.691184469734021,0.718590983664209,0.746167693225839,0.773912797812794,0.801824335494583,0.829900867202603,0.858141042086918,0.886543351041156,0.915106838932859,0.943830334058638,0.972712883826699,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
